county,precinct,office,district,party,candidate,votes,vtd
CHEYENNE,Benkelman Township,Attorney General,,Democratic,"Swain, Sarah G.",3,000010
CHEYENNE,Benkelman Township,Attorney General,,Republican,"Schmidt, Derek",13,000010
CHEYENNE,Bird City Township,Attorney General,,Democratic,"Swain, Sarah G.",41,000020
CHEYENNE,Bird City Township,Attorney General,,Republican,"Schmidt, Derek",247,000020
CHEYENNE,Calhoun Township,Attorney General,,Democratic,"Swain, Sarah G.",0,000030
CHEYENNE,Calhoun Township,Attorney General,,Republican,"Schmidt, Derek",22,000030
CHEYENNE,Cleveland Run Township,Attorney General,,Democratic,"Swain, Sarah G.",3,000040
CHEYENNE,Cleveland Run Township,Attorney General,,Republican,"Schmidt, Derek",23,000040
CHEYENNE,Jaqua Township,Attorney General,,Democratic,"Swain, Sarah G.",2,000050
CHEYENNE,Jaqua Township,Attorney General,,Republican,"Schmidt, Derek",5,000050
CHEYENNE,Orlando Township,Attorney General,,Democratic,"Swain, Sarah G.",2,000060
CHEYENNE,Orlando Township,Attorney General,,Republican,"Schmidt, Derek",26,000060
CHEYENNE,Wano 1 Township,Attorney General,,Democratic,"Swain, Sarah G.",46,000070
CHEYENNE,Wano 1 Township,Attorney General,,Republican,"Schmidt, Derek",238,000070
CHEYENNE,Wano 2 Township,Attorney General,,Democratic,"Swain, Sarah G.",73,000080
CHEYENNE,Wano 2 Township,Attorney General,,Republican,"Schmidt, Derek",349,000080
CHEYENNE,Benkelman Township,Governor,,independent,"Kloos, Rick",1,000010
CHEYENNE,Benkelman Township,Governor,,independent,"Orman, Greg",1,000010
CHEYENNE,Benkelman Township,Governor,,Democratic,"Kelly, Laura",3,000010
CHEYENNE,Benkelman Township,Governor,,Libertarian,"Caldwell, Jeff",0,000010
CHEYENNE,Benkelman Township,Governor,,Republican,"Kobach, Kris",5,000010
CHEYENNE,Bird City Township,Governor,,independent,"Kloos, Rick",4,000020
CHEYENNE,Bird City Township,Governor,,independent,"Orman, Greg",20,000020
CHEYENNE,Bird City Township,Governor,,Democratic,"Kelly, Laura",72,000020
CHEYENNE,Bird City Township,Governor,,Libertarian,"Caldwell, Jeff",7,000020
CHEYENNE,Bird City Township,Governor,,Republican,"Kobach, Kris",188,000020
CHEYENNE,Calhoun Township,Governor,,independent,"Kloos, Rick",0,000030
CHEYENNE,Calhoun Township,Governor,,independent,"Orman, Greg",0,000030
CHEYENNE,Calhoun Township,Governor,,Democratic,"Kelly, Laura",0,000030
CHEYENNE,Calhoun Township,Governor,,Libertarian,"Caldwell, Jeff",1,000030
CHEYENNE,Calhoun Township,Governor,,Republican,"Kobach, Kris",14,000030
CHEYENNE,Cleveland Run Township,Governor,,independent,"Kloos, Rick",0,000040
CHEYENNE,Cleveland Run Township,Governor,,independent,"Orman, Greg",0,000040
CHEYENNE,Cleveland Run Township,Governor,,Democratic,"Kelly, Laura",4,000040
CHEYENNE,Cleveland Run Township,Governor,,Libertarian,"Caldwell, Jeff",0,000040
CHEYENNE,Cleveland Run Township,Governor,,Republican,"Kobach, Kris",21,000040
CHEYENNE,Jaqua Township,Governor,,independent,"Kloos, Rick",0,000050
CHEYENNE,Jaqua Township,Governor,,independent,"Orman, Greg",0,000050
CHEYENNE,Jaqua Township,Governor,,Democratic,"Kelly, Laura",3,000050
CHEYENNE,Jaqua Township,Governor,,Libertarian,"Caldwell, Jeff",0,000050
CHEYENNE,Jaqua Township,Governor,,Republican,"Kobach, Kris",4,000050
CHEYENNE,Orlando Township,Governor,,independent,"Kloos, Rick",0,000060
CHEYENNE,Orlando Township,Governor,,independent,"Orman, Greg",4,000060
CHEYENNE,Orlando Township,Governor,,Democratic,"Kelly, Laura",8,000060
CHEYENNE,Orlando Township,Governor,,Libertarian,"Caldwell, Jeff",0,000060
CHEYENNE,Orlando Township,Governor,,Republican,"Kobach, Kris",16,000060
CHEYENNE,Wano 1 Township,Governor,,independent,"Kloos, Rick",0,000070
CHEYENNE,Wano 1 Township,Governor,,independent,"Orman, Greg",18,000070
CHEYENNE,Wano 1 Township,Governor,,Democratic,"Kelly, Laura",65,000070
CHEYENNE,Wano 1 Township,Governor,,Libertarian,"Caldwell, Jeff",4,000070
CHEYENNE,Wano 1 Township,Governor,,Republican,"Kobach, Kris",203,000070
CHEYENNE,Wano 2 Township,Governor,,independent,"Kloos, Rick",2,000080
CHEYENNE,Wano 2 Township,Governor,,independent,"Orman, Greg",36,000080
CHEYENNE,Wano 2 Township,Governor,,Democratic,"Kelly, Laura",93,000080
CHEYENNE,Wano 2 Township,Governor,,Libertarian,"Caldwell, Jeff",8,000080
CHEYENNE,Wano 2 Township,Governor,,Republican,"Kobach, Kris",282,000080
CHEYENNE,Benkelman Township,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",3,000010
CHEYENNE,Benkelman Township,Commissioner of Insurance,,Republican,"Schmidt, Vicki",13,000010
CHEYENNE,Bird City Township,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",38,000020
CHEYENNE,Bird City Township,Commissioner of Insurance,,Republican,"Schmidt, Vicki",246,000020
CHEYENNE,Calhoun Township,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",1,000030
CHEYENNE,Calhoun Township,Commissioner of Insurance,,Republican,"Schmidt, Vicki",21,000030
CHEYENNE,Cleveland Run Township,Commissioner of Insurance,,Democratic,"McLaughlin, Nathaniel",6,000040
CHEYENNE,Cleveland Run Township,Commissioner of Insurance,,Republican,"Schmidt, Vicki",19,000040
