candidate,office,district,party,county,precinct,votes,vtd
,Registered Voters,,,Wyandotte,Bonner Springs 1-1,1112,
,Ballots Cast,,,Wyandotte,Bonner Springs 1-1,590,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Bonner Springs 1-1,21,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Bonner Springs 1-1,284,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Bonner Springs 1-1,282,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Bonner Springs 1-1,20,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Bonner Springs 1-1,299,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Bonner Springs 1-1,11,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Bonner Springs 1-1,232,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Bonner Springs 1-1,25,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Bonner Springs 1-1,20,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Bonner Springs 1-1,260,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Bonner Springs 1-1,298,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Bonner Springs 1-1,283,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Bonner Springs 1-1,288,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Bonner Springs 1-1,272,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Bonner Springs 1-1,291,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Bonner Springs 1-1,258,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Bonner Springs 1-1,309,
Tom Burroughs,State House,33,Democratic,Wyandotte,Bonner Springs 1-1,331,
Jason Conley,State House,33,Libertarian,Wyandotte,Bonner Springs 1-1,164,
,Registered Voters,,,Wyandotte,Bonner Springs 2-1,887,
,Ballots Cast,,,Wyandotte,Bonner Springs 2-1,469,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Bonner Springs 2-1,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Bonner Springs 2-1,214,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Bonner Springs 2-1,231,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Bonner Springs 2-1,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Bonner Springs 2-1,216,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Bonner Springs 2-1,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Bonner Springs 2-1,205,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Bonner Springs 2-1,26,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Bonner Springs 2-1,26,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Bonner Springs 2-1,193,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Bonner Springs 2-1,242,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Bonner Springs 2-1,244,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Bonner Springs 2-1,215,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Bonner Springs 2-1,219,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Bonner Springs 2-1,235,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Bonner Springs 2-1,187,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Bonner Springs 2-1,264,
Tom Burroughs,State House,33,Democratic,Wyandotte,Bonner Springs 2-1,241,
Jason Conley,State House,33,Libertarian,Wyandotte,Bonner Springs 2-1,166,
,Registered Voters,,,Wyandotte,Bonner Springs 3-1,1150,
,Ballots Cast,,,Wyandotte,Bonner Springs 3-1,657,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Bonner Springs 3-1,29,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Bonner Springs 3-1,353,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Bonner Springs 3-1,273,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Bonner Springs 3-1,20,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Bonner Springs 3-1,353,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Bonner Springs 3-1,8,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Bonner Springs 3-1,233,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Bonner Springs 3-1,40,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Bonner Springs 3-1,32,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Bonner Springs 3-1,322,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Bonner Springs 3-1,291,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Bonner Springs 3-1,298,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Bonner Springs 3-1,346,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Bonner Springs 3-1,344,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Bonner Springs 3-1,290,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Bonner Springs 3-1,325,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Bonner Springs 3-1,309,
Tom Burroughs,State House,33,Democratic,Wyandotte,Bonner Springs 3-1,387,
Jason Conley,State House,33,Libertarian,Wyandotte,Bonner Springs 3-1,176,
,Registered Voters,,,Wyandotte,Bonner Springs 4-1,1457,
,Ballots Cast,,,Wyandotte,Bonner Springs 4-1,896,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Bonner Springs 4-1,31,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Bonner Springs 4-1,463,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Bonner Springs 4-1,396,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Bonner Springs 4-1,17,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Bonner Springs 4-1,490,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Bonner Springs 4-1,12,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Bonner Springs 4-1,326,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Bonner Springs 4-1,48,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Bonner Springs 4-1,27,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Bonner Springs 4-1,451,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Bonner Springs 4-1,404,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Bonner Springs 4-1,420,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Bonner Springs 4-1,460,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Bonner Springs 4-1,457,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Bonner Springs 4-1,415,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Bonner Springs 4-1,427,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Bonner Springs 4-1,441,
Tom Burroughs,State House,33,Democratic,Wyandotte,Bonner Springs 4-1,510,
Jason Conley,State House,33,Libertarian,Wyandotte,Bonner Springs 4-1,270,
,Registered Voters,,,Wyandotte,Delaware 1-1,29,
,Ballots Cast,,,Wyandotte,Delaware 1-1,15,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Delaware 1-1,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Delaware 1-1,5,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Delaware 1-1,10,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Delaware 1-1,0,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Delaware 1-1,5,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Delaware 1-1,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Delaware 1-1,9,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Delaware 1-1,1,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Delaware 1-1,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Delaware 1-1,5,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Delaware 1-1,9,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Delaware 1-1,9,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Delaware 1-1,5,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Delaware 1-1,5,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Delaware 1-1,8,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Delaware 1-1,5,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Delaware 1-1,9,
Tom Burroughs,State House,33,Democratic,Wyandotte,Delaware 1-1,5,
Jason Conley,State House,33,Libertarian,Wyandotte,Delaware 1-1,8,
,Registered Voters,,,Wyandotte,Edwardsville 1-1,2211,
,Ballots Cast,,,Wyandotte,Edwardsville 1-1,1109,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Edwardsville 1-1,57,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Edwardsville 1-1,500,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Edwardsville 1-1,542,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Edwardsville 1-1,44,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Edwardsville 1-1,515,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Edwardsville 1-1,12,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Edwardsville 1-1,487,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Edwardsville 1-1,44,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Edwardsville 1-1,60,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Edwardsville 1-1,477,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Edwardsville 1-1,545,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Edwardsville 1-1,578,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Edwardsville 1-1,495,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Edwardsville 1-1,494,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Edwardsville 1-1,572,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Edwardsville 1-1,457,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Edwardsville 1-1,610,
Tom Burroughs,State House,33,Democratic,Wyandotte,Edwardsville 1-1,565,
Jason Conley,State House,33,Libertarian,Wyandotte,Edwardsville 1-1,364,
,Registered Voters,,,Wyandotte,Edwardsville 2-1,370,
,Ballots Cast,,,Wyandotte,Edwardsville 2-1,193,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Edwardsville 2-1,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Edwardsville 2-1,82,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Edwardsville 2-1,99,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Edwardsville 2-1,5,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Edwardsville 2-1,83,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Edwardsville 2-1,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Edwardsville 2-1,87,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Edwardsville 2-1,16,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Edwardsville 2-1,11,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Edwardsville 2-1,84,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Edwardsville 2-1,96,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Edwardsville 2-1,102,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Edwardsville 2-1,85,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Edwardsville 2-1,89,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Edwardsville 2-1,97,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Edwardsville 2-1,84,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Edwardsville 2-1,100,
Tom Burroughs,State House,33,Democratic,Wyandotte,Edwardsville 2-1,107,
