county,precinct,office,district,party,candidate,votes,vtd
GEARY,Blakely Township,Attorney General,,Democratic,"Swain, Sarah G.",5,000010
GEARY,Blakely Township,Attorney General,,Republican,"Schmidt, Derek",57,000010
GEARY,Fort Riley Milford Township Block 401,Attorney General,,Democratic,"Swain, Sarah G.",0,00002O
GEARY,Fort Riley Milford Township Block 401,Attorney General,,Republican,"Schmidt, Derek",0,00002O
GEARY,Fort Riley Milford Township Block 501,Attorney General,,Democratic,"Swain, Sarah G.",0,00002P
GEARY,Fort Riley Milford Township Block 501,Attorney General,,Republican,"Schmidt, Derek",0,00002P
GEARY,Fort Riley Milford Township Block 601,Attorney General,,Democratic,"Swain, Sarah G.",0,00002Q
GEARY,Fort Riley Milford Township Block 601,Attorney General,,Republican,"Schmidt, Derek",0,00002Q
GEARY,Fort Riley Milford Township Block 701,Attorney General,,Democratic,"Swain, Sarah G.",0,00002R
GEARY,Fort Riley Milford Township Block 701,Attorney General,,Republican,"Schmidt, Derek",0,00002R
GEARY,Wingfield Township,Attorney General,,Democratic,"Swain, Sarah G.",30,000040
GEARY,Wingfield Township,Attorney General,,Republican,"Schmidt, Derek",50,000040
GEARY,Jackson Township,Attorney General,,Democratic,"Swain, Sarah G.",4,000050
GEARY,Jackson Township,Attorney General,,Republican,"Schmidt, Derek",40,000050
GEARY,Jefferson Township,Attorney General,,Democratic,"Swain, Sarah G.",32,000060
GEARY,Jefferson Township,Attorney General,,Republican,"Schmidt, Derek",138,000060
GEARY,Junction City Ward 1 Precinct 1,Attorney General,,Democratic,"Swain, Sarah G.",73,00007A
GEARY,Junction City Ward 1 Precinct 1,Attorney General,,Republican,"Schmidt, Derek",74,00007A
GEARY,Junction City Ward 1 Precinct 2,Attorney General,,Democratic,"Swain, Sarah G.",75,000080
GEARY,Junction City Ward 1 Precinct 2,Attorney General,,Republican,"Schmidt, Derek",86,000080
GEARY,Junction City Ward 1 Precinct 3,Attorney General,,Democratic,"Swain, Sarah G.",90,000090
GEARY,Junction City Ward 1 Precinct 3,Attorney General,,Republican,"Schmidt, Derek",150,000090
GEARY,Junction City Ward 1 Precinct 4,Attorney General,,Democratic,"Swain, Sarah G.",180,000100
GEARY,Junction City Ward 1 Precinct 4,Attorney General,,Republican,"Schmidt, Derek",260,000100
