county,precinct,office,district,party,candidate,votes,vtd
ELK,Elk Falls Township,State House,12,Democratic,"Bumgarner, Tina",29,000010
ELK,Elk Falls Township,State House,12,Republican,"Peck, Virgil",71,000010
ELK,Greenfield Township,State House,13,Republican,"Hibbard, Larry Paul",122,000020
ELK,Howard Township,State House,13,Republican,"Hibbard, Larry Paul",347,000030
ELK,Liberty Township,State House,13,Republican,"Hibbard, Larry Paul",44,000040
ELK,Longton Township,State House,12,Democratic,"Bumgarner, Tina",51,000050
ELK,Longton Township,State House,12,Republican,"Peck, Virgil",122,000050
ELK,Oak Valley Township,State House,12,Democratic,"Bumgarner, Tina",12,000060
ELK,Oak Valley Township,State House,12,Republican,"Peck, Virgil",44,000060
ELK,Painterhood Township,State House,13,Republican,"Hibbard, Larry Paul",32,000070
ELK,Paw Paw Township,State House,13,Republican,"Hibbard, Larry Paul",42,000080
ELK,Union Center Township,State House,13,Republican,"Hibbard, Larry Paul",44,000090
ELK,Wildcat Township,State House,13,Republican,"Hibbard, Larry Paul",214,000100
ELK,Elk Falls Township,State Senate,14,Democratic,"Fuson, Eden",21,000010
ELK,Elk Falls Township,State Senate,14,Republican,"Knox, Forrest J.",81,000010
ELK,Greenfield Township,State Senate,14,Democratic,"Fuson, Eden",20,000020
ELK,Greenfield Township,State Senate,14,Republican,"Knox, Forrest J.",125,000020
ELK,Howard Township,State Senate,14,Democratic,"Fuson, Eden",81,000030
ELK,Howard Township,State Senate,14,Republican,"Knox, Forrest J.",327,000030
ELK,Liberty Township,State Senate,14,Democratic,"Fuson, Eden",17,000040
ELK,Liberty Township,State Senate,14,Republican,"Knox, Forrest J.",25,000040
ELK,Longton Township,State Senate,14,Democratic,"Fuson, Eden",36,000050
ELK,Longton Township,State Senate,14,Republican,"Knox, Forrest J.",135,000050
ELK,Oak Valley Township,State Senate,14,Democratic,"Fuson, Eden",8,000060
ELK,Oak Valley Township,State Senate,14,Republican,"Knox, Forrest J.",49,000060
ELK,Painterhood Township,State Senate,14,Democratic,"Fuson, Eden",7,000070
ELK,Painterhood Township,State Senate,14,Republican,"Knox, Forrest J.",25,000070
ELK,Paw Paw Township,State Senate,14,Democratic,"Fuson, Eden",3,000080
ELK,Paw Paw Township,State Senate,14,Republican,"Knox, Forrest J.",44,000080
ELK,Union Center Township,State Senate,14,Democratic,"Fuson, Eden",11,000090
ELK,Union Center Township,State Senate,14,Republican,"Knox, Forrest J.",37,000090
ELK,Wildcat Township,State Senate,14,Democratic,"Fuson, Eden",61,000100
ELK,Wildcat Township,State Senate,14,Republican,"Knox, Forrest J.",193,000100
ELK,Elk Falls Township,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Ayers, Avery L",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Barnett, Andre",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Barr, Roseanne C",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Bush, Kent W",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Christensen, Will",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Duncan, Richard A",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Goode, Virgil",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Hoefling, Tom",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Knill, Dennis J",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Reed, Jill A.",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Rogers, Rick L",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Stein, Jill E",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Thorne, Kevin M",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,000010
ELK,Elk Falls Township,President / Vice President,,write - in,"Warner, Gerald L.",0,000010
ELK,Elk Falls Township,President / Vice President,,Democratic,"Obama, Barack",18,000010
ELK,Elk Falls Township,President / Vice President,,Libertarian,"Johnson, Gary",5,000010
ELK,Elk Falls Township,President / Vice President,,Reform,"Baldwin, Chuck",1,000010
ELK,Elk Falls Township,President / Vice President,,Republican,"Romney, Mitt",81,000010
ELK,Greenfield Township,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Ayers, Avery L",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Barnett, Andre",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Barr, Roseanne C",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Bush, Kent W",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Christensen, Will",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Duncan, Richard A",0,000020
ELK,Greenfield Township,President / Vice President,,write - in,"Goode, Virgil",0,000020
