county,precinct,office,district,party,candidate,votes,vtd
OSBORNE,Bethany Township,State House,109,Republican,"Waymaster, Troy L.",59,000010
OSBORNE,Bloom Township,State House,109,Republican,"Waymaster, Troy L.",34,000020
OSBORNE,Corinth Township,State House,109,Republican,"Waymaster, Troy L.",22,000030
OSBORNE,Covert Township,State House,109,Republican,"Waymaster, Troy L.",4,000040
OSBORNE,Delhi Township,State House,109,Republican,"Waymaster, Troy L.",11,000050
OSBORNE,Grant Township,State House,109,Republican,"Waymaster, Troy L.",14,000060
OSBORNE,Hancock Township,State House,109,Republican,"Waymaster, Troy L.",12,000070
OSBORNE,Hawkeye Township,State House,109,Republican,"Waymaster, Troy L.",12,000080
OSBORNE,Independence Township,State House,109,Republican,"Waymaster, Troy L.",11,000090
OSBORNE,Jackson Township,State House,109,Republican,"Waymaster, Troy L.",19,000100
OSBORNE,Kill Creek Township,State House,109,Republican,"Waymaster, Troy L.",6,000110
OSBORNE,Lawrence Township,State House,109,Republican,"Waymaster, Troy L.",16,000120
OSBORNE,Liberty Township,State House,109,Republican,"Waymaster, Troy L.",14,000130
OSBORNE,Mount Ayr Township,State House,109,Republican,"Waymaster, Troy L.",29,000140
OSBORNE,Natoma Township,State House,109,Republican,"Waymaster, Troy L.",141,000150
OSBORNE,Osborne Ward 1,State House,109,Republican,"Waymaster, Troy L.",202,000160
OSBORNE,Osborne Ward 2,State House,109,Republican,"Waymaster, Troy L.",246,000170
OSBORNE,Osborne Ward 3,State House,109,Republican,"Waymaster, Troy L.",123,000180
OSBORNE,Penn Township,State House,109,Republican,"Waymaster, Troy L.",49,000190
OSBORNE,Ross 1,State House,109,Republican,"Waymaster, Troy L.",365,000200
OSBORNE,Ross 2,State House,109,Republican,"Waymaster, Troy L.",53,000210
OSBORNE,Round Mound Township,State House,109,Republican,"Waymaster, Troy L.",19,000220
OSBORNE,Sumner Township,State House,109,Republican,"Waymaster, Troy L.",64,000230
OSBORNE,Tilden Township,State House,109,Republican,"Waymaster, Troy L.",39,000240
OSBORNE,Valley Township,State House,109,Republican,"Waymaster, Troy L.",8,000250
OSBORNE,Victor Township,State House,109,Republican,"Waymaster, Troy L.",9,000260
OSBORNE,Winfield Township,State House,109,Republican,"Waymaster, Troy L.",11,000270
OSBORNE,Bethany Township,State Senate,36,Democratic,"Clark, Marquis",19,000010
OSBORNE,Bethany Township,State Senate,36,Republican,"Bowers, Elaine S.",49,000010
OSBORNE,Bloom Township,State Senate,36,Democratic,"Clark, Marquis",3,000020
OSBORNE,Bloom Township,State Senate,36,Republican,"Bowers, Elaine S.",34,000020
OSBORNE,Corinth Township,State Senate,36,Democratic,"Clark, Marquis",4,000030
OSBORNE,Corinth Township,State Senate,36,Republican,"Bowers, Elaine S.",21,000030
OSBORNE,Covert Township,State Senate,36,Democratic,"Clark, Marquis",0,000040
OSBORNE,Covert Township,State Senate,36,Republican,"Bowers, Elaine S.",4,000040
OSBORNE,Delhi Township,State Senate,36,Democratic,"Clark, Marquis",2,000050
OSBORNE,Delhi Township,State Senate,36,Republican,"Bowers, Elaine S.",12,000050
OSBORNE,Grant Township,State Senate,36,Democratic,"Clark, Marquis",0,000060
OSBORNE,Grant Township,State Senate,36,Republican,"Bowers, Elaine S.",15,000060
OSBORNE,Hancock Township,State Senate,36,Democratic,"Clark, Marquis",0,000070
OSBORNE,Hancock Township,State Senate,36,Republican,"Bowers, Elaine S.",12,000070
OSBORNE,Hawkeye Township,State Senate,36,Democratic,"Clark, Marquis",3,000080
OSBORNE,Hawkeye Township,State Senate,36,Republican,"Bowers, Elaine S.",10,000080
OSBORNE,Independence Township,State Senate,36,Democratic,"Clark, Marquis",1,000090
OSBORNE,Independence Township,State Senate,36,Republican,"Bowers, Elaine S.",8,000090
OSBORNE,Jackson Township,State Senate,36,Democratic,"Clark, Marquis",2,000100
OSBORNE,Jackson Township,State Senate,36,Republican,"Bowers, Elaine S.",19,000100
OSBORNE,Kill Creek Township,State Senate,36,Democratic,"Clark, Marquis",0,000110
OSBORNE,Kill Creek Township,State Senate,36,Republican,"Bowers, Elaine S.",6,000110
OSBORNE,Lawrence Township,State Senate,36,Democratic,"Clark, Marquis",5,000120
OSBORNE,Lawrence Township,State Senate,36,Republican,"Bowers, Elaine S.",14,000120
OSBORNE,Liberty Township,State Senate,36,Democratic,"Clark, Marquis",1,000130
OSBORNE,Liberty Township,State Senate,36,Republican,"Bowers, Elaine S.",13,000130
OSBORNE,Mount Ayr Township,State Senate,36,Democratic,"Clark, Marquis",1,000140
OSBORNE,Mount Ayr Township,State Senate,36,Republican,"Bowers, Elaine S.",26,000140
OSBORNE,Natoma Township,State Senate,36,Democratic,"Clark, Marquis",22,000150
OSBORNE,Natoma Township,State Senate,36,Republican,"Bowers, Elaine S.",124,000150
OSBORNE,Osborne Ward 1,State Senate,36,Democratic,"Clark, Marquis",34,000160
OSBORNE,Osborne Ward 1,State Senate,36,Republican,"Bowers, Elaine S.",184,000160
OSBORNE,Osborne Ward 2,State Senate,36,Democratic,"Clark, Marquis",63,000170
OSBORNE,Osborne Ward 2,State Senate,36,Republican,"Bowers, Elaine S.",218,000170
OSBORNE,Osborne Ward 3,State Senate,36,Democratic,"Clark, Marquis",28,000180
OSBORNE,Osborne Ward 3,State Senate,36,Republican,"Bowers, Elaine S.",107,000180
OSBORNE,Penn Township,State Senate,36,Democratic,"Clark, Marquis",6,000190
OSBORNE,Penn Township,State Senate,36,Republican,"Bowers, Elaine S.",42,000190
OSBORNE,Ross 1,State Senate,36,Democratic,"Clark, Marquis",61,000200
OSBORNE,Ross 1,State Senate,36,Republican,"Bowers, Elaine S.",341,000200
OSBORNE,Ross 2,State Senate,36,Democratic,"Clark, Marquis",4,000210
OSBORNE,Ross 2,State Senate,36,Republican,"Bowers, Elaine S.",52,000210
OSBORNE,Round Mound Township,State Senate,36,Democratic,"Clark, Marquis",1,000220
OSBORNE,Round Mound Township,State Senate,36,Republican,"Bowers, Elaine S.",19,000220
OSBORNE,Sumner Township,State Senate,36,Democratic,"Clark, Marquis",13,000230
OSBORNE,Sumner Township,State Senate,36,Republican,"Bowers, Elaine S.",54,000230
OSBORNE,Tilden Township,State Senate,36,Democratic,"Clark, Marquis",1,000240
OSBORNE,Tilden Township,State Senate,36,Republican,"Bowers, Elaine S.",37,000240
OSBORNE,Valley Township,State Senate,36,Democratic,"Clark, Marquis",2,000250
OSBORNE,Valley Township,State Senate,36,Republican,"Bowers, Elaine S.",6,000250
OSBORNE,Victor Township,State Senate,36,Democratic,"Clark, Marquis",4,000260
OSBORNE,Victor Township,State Senate,36,Republican,"Bowers, Elaine S.",5,000260
