county,precinct,office,district,party,candidate,votes,vtd
WILSON,Cedar Township,Governor,,Democratic,"Davis, Paul",23,000010
WILSON,Cedar Township,Governor,,Libertarian,"Umbehr, Keen A.",13,000010
WILSON,Cedar Township,Governor,,Republican,"Brownback, Sam",116,000010
WILSON,Center Township,Governor,,Democratic,"Davis, Paul",72,000020
WILSON,Center Township,Governor,,Libertarian,"Umbehr, Keen A.",3,000020
WILSON,Center Township,Governor,,Republican,"Brownback, Sam",121,000020
WILSON,Chetopa Township,Governor,,Democratic,"Davis, Paul",7,000030
WILSON,Chetopa Township,Governor,,Libertarian,"Umbehr, Keen A.",1,000030
WILSON,Chetopa Township,Governor,,Republican,"Brownback, Sam",58,000030
WILSON,Clifton Township,Governor,,Democratic,"Davis, Paul",22,000040
WILSON,Clifton Township,Governor,,Libertarian,"Umbehr, Keen A.",5,000040
WILSON,Clifton Township,Governor,,Republican,"Brownback, Sam",63,000040
WILSON,Colfax Township,Governor,,Democratic,"Davis, Paul",57,000050
WILSON,Colfax Township,Governor,,Libertarian,"Umbehr, Keen A.",4,000050
WILSON,Colfax Township,Governor,,Republican,"Brownback, Sam",94,000050
WILSON,Duck Creek Township,Governor,,Democratic,"Davis, Paul",5,000060
WILSON,Duck Creek Township,Governor,,Libertarian,"Umbehr, Keen A.",0,000060
WILSON,Duck Creek Township,Governor,,Republican,"Brownback, Sam",28,000060
WILSON,Fall River Township,Governor,,Democratic,"Davis, Paul",14,000070
WILSON,Fall River Township,Governor,,Libertarian,"Umbehr, Keen A.",9,000070
WILSON,Fall River Township,Governor,,Republican,"Brownback, Sam",106,000070
WILSON,Fredonia Ward 1,Governor,,Democratic,"Davis, Paul",67,000080
WILSON,Fredonia Ward 1,Governor,,Libertarian,"Umbehr, Keen A.",6,000080
WILSON,Fredonia Ward 1,Governor,,Republican,"Brownback, Sam",79,000080
WILSON,Fredonia Ward 2,Governor,,Democratic,"Davis, Paul",19,000090
WILSON,Fredonia Ward 2,Governor,,Libertarian,"Umbehr, Keen A.",2,000090
WILSON,Fredonia Ward 2,Governor,,Republican,"Brownback, Sam",43,000090
WILSON,Fredonia Ward 3,Governor,,Democratic,"Davis, Paul",18,00010A
WILSON,Fredonia Ward 3,Governor,,Libertarian,"Umbehr, Keen A.",4,00010A
