county,precinct,office,district,party,candidate,votes,Election Night,Advance,Provisional
Lane KS,Alamota Twp,Attorney,,D,A J Kotich [D],7,5,2,0
Lane KS,Cheyenne Twp,Attorney,,D,A J Kotich [D],14,11,2,1
Lane KS,Dighton City 1,Attorney,,D,A J Kotich [D],32,21,11,0
Lane KS,Dighton City 2,Attorney,,D,A J Kotich [D],31,19,11,1
Lane KS,Dighton City 3,Attorney,,D,A J Kotich [D],10,6,2,2
Lane KS,Dighton Twp 1,Attorney,,D,A J Kotich [D],9,4,3,2
Lane KS,Dighton Twp 2,Attorney,,D,A J Kotich [D],4,1,3,0
Lane KS,Dighton Twp 3,Attorney,,D,A J Kotich [D],3,2,1,0
Lane KS,White Rock Twp,Attorney,,D,A J Kotich [D],1,1,0,0
Lane KS,Wilson Twp,Attorney,,D,A J Kotich [D],3,3,0,0
Lane KS,Alamota Twp,Attorney,,R,Derek Schmidt [R],28,21,6,1
Lane KS,Cheyenne Twp,Attorney,,R,Derek Schmidt [R],94,80,9,5
Lane KS,Dighton City 1,Attorney,,R,Derek Schmidt [R],133,91,33,9
Lane KS,Dighton City 2,Attorney,,R,Derek Schmidt [R],174,141,30,3
Lane KS,Dighton City 3,Attorney,,R,Derek Schmidt [R],53,45,6,2
Lane KS,Dighton Twp 1,Attorney,,R,Derek Schmidt [R],31,27,3,1
Lane KS,Dighton Twp 2,Attorney,,R,Derek Schmidt [R],50,37,13,0
Lane KS,Dighton Twp 3,Attorney,,R,Derek Schmidt [R],19,13,6,0
Lane KS,White Rock Twp,Attorney,,R,Derek Schmidt [R],11,9,2,0
Lane KS,Wilson Twp,Attorney,,R,Derek Schmidt [R],31,25,6,0
Lane KS,Alamota Twp,Congress 1,CD1,D,James Sherow [D],8,6,2,0
Lane KS,Cheyenne Twp,Congress 1,CD1,D,James Sherow [D],20,18,2,0
Lane KS,Dighton City 1,Congress 1,CD1,D,James Sherow [D],44,31,13,0
Lane KS,Dighton City 2,Congress 1,CD1,D,James Sherow [D],56,41,15,0
Lane KS,Dighton City 3,Congress 1,CD1,D,James Sherow [D],15,8,5,2
Lane KS,Dighton Twp 1,Congress 1,CD1,D,James Sherow [D],11,8,1,2
Lane KS,Dighton Twp 2,Congress 1,CD1,D,James Sherow [D],8,4,4,0
Lane KS,Dighton Twp 3,Congress 1,CD1,D,James Sherow [D],4,3,1,0
Lane KS,White Rock Twp,Congress 1,CD1,D,James Sherow [D],3,2,1,0
Lane KS,Wilson Twp,Congress 1,CD1,D,James Sherow [D],4,4,0,0
Lane KS,Alamota Twp,Congress 1,CD1,R,Tim Huelskamp [R],28,20,7,1
Lane KS,Cheyenne Twp,Congress 1,CD1,R,Tim Huelskamp [R],94,79,9,6
Lane KS,Dighton City 1,Congress 1,CD1,R,Tim Huelskamp [R],126,85,32,9
Lane KS,Dighton City 2,Congress 1,CD1,R,Tim Huelskamp [R],154,124,26,4
Lane KS,Dighton City 3,Congress 1,CD1,R,Tim Huelskamp [R],51,44,5,2
Lane KS,Dighton Twp 1,Congress 1,CD1,R,Tim Huelskamp [R],31,25,5,1
Lane KS,Dighton Twp 2,Congress 1,CD1,R,Tim Huelskamp [R],45,34,11,0
Lane KS,Dighton Twp 3,Congress 1,CD1,R,Tim Huelskamp [R],18,12,6,0
Lane KS,White Rock Twp,Congress 1,CD1,R,Tim Huelskamp [R],9,8,1,0
Lane KS,Wilson Twp,Congress 1,CD1,R,Tim Huelskamp [R],29,23,6,0
Lane KS,Alamota Twp,Governor,,L,Keen Umbehr [L],1,0,1,0
Lane KS,Cheyenne Twp,Governor,,L,Keen Umbehr [L],5,5,0,0
Lane KS,Dighton City 1,Governor,,L,Keen Umbehr [L],9,6,2,1
