county,precinct,precinct_number,office,district,party,candidate,votes
Edwards,01 Kinsley Ward 1,ED000050,,,,Ballots Cast,285
Edwards,02 Kinsley Ward 2,ED000060,,,,Ballots Cast,259
Edwards,03 Lewis City,ED000122,,,,Ballots Cast,121
Edwards,04 Offerle City,ED000112,,,,Ballots Cast,77
Edwards,05 Belpre City,ED000012,,,,Ballots Cast,22
Edwards,06 Logan Township,ED000080,,,,Ballots Cast,15
Edwards,07 Jackson Township,ED000030,,,,Ballots Cast,33
Edwards,08 Kinsley Township,ED000040,,,,Ballots Cast,63
Edwards,09 Wayne Township,ED000121,,,,Ballots Cast,47
Edwards,10 Belpre Township,ED000011,,,,Ballots Cast,40
Edwards,11 Lincoln Township,ED000070,,,,Ballots Cast,61
Edwards,12 Franklin Township,ED000020,,,,Ballots Cast,41
Edwards,13 North Brown Township,ED000090,,,,Ballots Cast,24
Edwards,14 Trenton Township,ED000111,,,,Ballots Cast,36
Edwards,15 South Brown Township,ED000100,,,,Ballots Cast,40
Edwards,01 Kinsley Ward 1,ED000050,U.S. Senate,,REP,Pat Roberts,196
Edwards,02 Kinsley Ward 2,ED000060,U.S. Senate,,REP,Pat Roberts,149
Edwards,03 Lewis City,ED000122,U.S. Senate,,REP,Pat Roberts,85
Edwards,04 Offerle City,ED000112,U.S. Senate,,REP,Pat Roberts,50
Edwards,05 Belpre City,ED000012,U.S. Senate,,REP,Pat Roberts,12
Edwards,06 Logan Township,ED000080,U.S. Senate,,REP,Pat Roberts,8
Edwards,07 Jackson Township,ED000030,U.S. Senate,,REP,Pat Roberts,26
Edwards,08 Kinsley Township,ED000040,U.S. Senate,,REP,Pat Roberts,47
Edwards,09 Wayne Township,ED000121,U.S. Senate,,REP,Pat Roberts,34
Edwards,10 Belpre Township,ED000011,U.S. Senate,,REP,Pat Roberts,29
Edwards,11 Lincoln Township,ED000070,U.S. Senate,,REP,Pat Roberts,48
Edwards,12 Franklin Township,ED000020,U.S. Senate,,REP,Pat Roberts,39
Edwards,13 North Brown Township,ED000090,U.S. Senate,,REP,Pat Roberts,19
Edwards,14 Trenton Township,ED000111,U.S. Senate,,REP,Pat Roberts,30
Edwards,15 South Brown Township,ED000100,U.S. Senate,,REP,Pat Roberts,34
Edwards,01 Kinsley Ward 1,ED000050,U.S. Senate,,IND,Greg Orman,73
Edwards,02 Kinsley Ward 2,ED000060,U.S. Senate,,IND,Greg Orman,95
Edwards,03 Lewis City,ED000122,U.S. Senate,,IND,Greg Orman,31
Edwards,04 Offerle City,ED000112,U.S. Senate,,IND,Greg Orman,18
Edwards,05 Belpre City,ED000012,U.S. Senate,,IND,Greg Orman,8
Edwards,06 Logan Township,ED000080,U.S. Senate,,IND,Greg Orman,6
Edwards,07 Jackson Township,ED000030,U.S. Senate,,IND,Greg Orman,5
Edwards,08 Kinsley Township,ED000040,U.S. Senate,,IND,Greg Orman,14
Edwards,09 Wayne Township,ED000121,U.S. Senate,,IND,Greg Orman,9
Edwards,10 Belpre Township,ED000011,U.S. Senate,,IND,Greg Orman,9
Edwards,11 Lincoln Township,ED000070,U.S. Senate,,IND,Greg Orman,9
Edwards,12 Franklin Township,ED000020,U.S. Senate,,IND,Greg Orman,1
Edwards,13 North Brown Township,ED000090,U.S. Senate,,IND,Greg Orman,4
Edwards,14 Trenton Township,ED000111,U.S. Senate,,IND,Greg Orman,6
Edwards,15 South Brown Township,ED000100,U.S. Senate,,IND,Greg Orman,6
Edwards,01 Kinsley Ward 1,ED000050,U.S. Senate,,LIB,Randall Batson,13
Edwards,02 Kinsley Ward 2,ED000060,U.S. Senate,,LIB,Randall Batson,11
Edwards,03 Lewis City,ED000122,U.S. Senate,,LIB,Randall Batson,4
Edwards,04 Offerle City,ED000112,U.S. Senate,,LIB,Randall Batson,5
Edwards,05 Belpre City,ED000012,U.S. Senate,,LIB,Randall Batson,1
Edwards,06 Logan Township,ED000080,U.S. Senate,,LIB,Randall Batson,1
Edwards,07 Jackson Township,ED000030,U.S. Senate,,LIB,Randall Batson,1
Edwards,08 Kinsley Township,ED000040,U.S. Senate,,LIB,Randall Batson,2
Edwards,09 Wayne Township,ED000121,U.S. Senate,,LIB,Randall Batson,4
Edwards,10 Belpre Township,ED000011,U.S. Senate,,LIB,Randall Batson,0
Edwards,11 Lincoln Township,ED000070,U.S. Senate,,LIB,Randall Batson,3
Edwards,12 Franklin Township,ED000020,U.S. Senate,,LIB,Randall Batson,1
Edwards,13 North Brown Township,ED000090,U.S. Senate,,LIB,Randall Batson,1
Edwards,14 Trenton Township,ED000111,U.S. Senate,,LIB,Randall Batson,0
Edwards,15 South Brown Township,ED000100,U.S. Senate,,LIB,Randall Batson,0
Edwards,01 Kinsley Ward 1,ED000050,U.S. Senate,,,Write-ins,0
Edwards,02 Kinsley Ward 2,ED000060,U.S. Senate,,,Write-ins,0
Edwards,03 Lewis City,ED000122,U.S. Senate,,,Write-ins,0
Edwards,04 Offerle City,ED000112,U.S. Senate,,,Write-ins,0
Edwards,05 Belpre City,ED000012,U.S. Senate,,,Write-ins,0
Edwards,06 Logan Township,ED000080,U.S. Senate,,,Write-ins,0
Edwards,07 Jackson Township,ED000030,U.S. Senate,,,Write-ins,1
Edwards,08 Kinsley Township,ED000040,U.S. Senate,,,Write-ins,0
Edwards,09 Wayne Township,ED000121,U.S. Senate,,,Write-ins,0
Edwards,10 Belpre Township,ED000011,U.S. Senate,,,Write-ins,0
Edwards,11 Lincoln Township,ED000070,U.S. Senate,,,Write-ins,0
Edwards,12 Franklin Township,ED000020,U.S. Senate,,,Write-ins,0
Edwards,13 North Brown Township,ED000090,U.S. Senate,,,Write-ins,0
Edwards,14 Trenton Township,ED000111,U.S. Senate,,,Write-ins,0
Edwards,15 South Brown Township,ED000100,U.S. Senate,,,Write-ins,0
Edwards,01 Kinsley Ward 1,ED000050,U.S. House,4,REP,Mike Pompeo,204
Edwards,02 Kinsley Ward 2,ED000060,U.S. House,4,REP,Mike Pompeo,194
Edwards,03 Lewis City,ED000122,U.S. House,4,REP,Mike Pompeo,87
Edwards,04 Offerle City,ED000112,U.S. House,4,REP,Mike Pompeo,65
Edwards,05 Belpre City,ED000012,U.S. House,4,REP,Mike Pompeo,18
Edwards,06 Logan Township,ED000080,U.S. House,4,REP,Mike Pompeo,11
Edwards,07 Jackson Township,ED000030,U.S. House,4,REP,Mike Pompeo,25
Edwards,08 Kinsley Township,ED000040,U.S. House,4,REP,Mike Pompeo,52
Edwards,09 Wayne Township,ED000121,U.S. House,4,REP,Mike Pompeo,42
Edwards,10 Belpre Township,ED000011,U.S. House,4,REP,Mike Pompeo,32
Edwards,11 Lincoln Township,ED000070,U.S. House,4,REP,Mike Pompeo,55
Edwards,12 Franklin Township,ED000020,U.S. House,4,REP,Mike Pompeo,40
Edwards,13 North Brown Township,ED000090,U.S. House,4,REP,Mike Pompeo,22
Edwards,14 Trenton Township,ED000111,U.S. House,4,REP,Mike Pompeo,30
Edwards,15 South Brown Township,ED000100,U.S. House,4,REP,Mike Pompeo,38
Edwards,01 Kinsley Ward 1,ED000050,U.S. House,4,DEM,Perry Schuckman,68
Edwards,02 Kinsley Ward 2,ED000060,U.S. House,4,DEM,Perry Schuckman,63
Edwards,03 Lewis City,ED000122,U.S. House,4,DEM,Perry Schuckman,34
Edwards,04 Offerle City,ED000112,U.S. House,4,DEM,Perry Schuckman,8
Edwards,05 Belpre City,ED000012,U.S. House,4,DEM,Perry Schuckman,3
Edwards,06 Logan Township,ED000080,U.S. House,4,DEM,Perry Schuckman,4
Edwards,07 Jackson Township,ED000030,U.S. House,4,DEM,Perry Schuckman,7
Edwards,08 Kinsley Township,ED000040,U.S. House,4,DEM,Perry Schuckman,8
Edwards,09 Wayne Township,ED000121,U.S. House,4,DEM,Perry Schuckman,4
Edwards,10 Belpre Township,ED000011,U.S. House,4,DEM,Perry Schuckman,7
Edwards,11 Lincoln Township,ED000070,U.S. House,4,DEM,Perry Schuckman,4
Edwards,12 Franklin Township,ED000020,U.S. House,4,DEM,Perry Schuckman,0
Edwards,13 North Brown Township,ED000090,U.S. House,4,DEM,Perry Schuckman,2
Edwards,14 Trenton Township,ED000111,U.S. House,4,DEM,Perry Schuckman,5
Edwards,15 South Brown Township,ED000100,U.S. House,4,DEM,Perry Schuckman,2
Edwards,01 Kinsley Ward 1,ED000050,Governor,,REP,Sam Brownback,172
Edwards,02 Kinsley Ward 2,ED000060,Governor,,REP,Sam Brownback,145
Edwards,03 Lewis City,ED000122,Governor,,REP,Sam Brownback,81
Edwards,04 Offerle City,ED000112,Governor,,REP,Sam Brownback,51
Edwards,05 Belpre City,ED000012,Governor,,REP,Sam Brownback,13
Edwards,06 Logan Township,ED000080,Governor,,REP,Sam Brownback,8
Edwards,07 Jackson Township,ED000030,Governor,,REP,Sam Brownback,23
Edwards,08 Kinsley Township,ED000040,Governor,,REP,Sam Brownback,47
Edwards,09 Wayne Township,ED000121,Governor,,REP,Sam Brownback,32
Edwards,10 Belpre Township,ED000011,Governor,,REP,Sam Brownback,30
Edwards,11 Lincoln Township,ED000070,Governor,,REP,Sam Brownback,48
Edwards,12 Franklin Township,ED000020,Governor,,REP,Sam Brownback,39
Edwards,13 North Brown Township,ED000090,Governor,,REP,Sam Brownback,19
Edwards,14 Trenton Township,ED000111,Governor,,REP,Sam Brownback,28
Edwards,15 South Brown Township,ED000100,Governor,,REP,Sam Brownback,30
Edwards,01 Kinsley Ward 1,ED000050,Governor,,DEM,Paul Davis,99
Edwards,02 Kinsley Ward 2,ED000060,Governor,,DEM,Paul Davis,103
Edwards,03 Lewis City,ED000122,Governor,,DEM,Paul Davis,34
Edwards,04 Offerle City,ED000112,Governor,,DEM,Paul Davis,23
Edwards,05 Belpre City,ED000012,Governor,,DEM,Paul Davis,8
Edwards,06 Logan Township,ED000080,Governor,,DEM,Paul Davis,6
Edwards,07 Jackson Township,ED000030,Governor,,DEM,Paul Davis,8
Edwards,08 Kinsley Township,ED000040,Governor,,DEM,Paul Davis,15
Edwards,09 Wayne Township,ED000121,Governor,,DEM,Paul Davis,12
Edwards,10 Belpre Township,ED000011,Governor,,DEM,Paul Davis,8
Edwards,11 Lincoln Township,ED000070,Governor,,DEM,Paul Davis,11
Edwards,12 Franklin Township,ED000020,Governor,,DEM,Paul Davis,1
Edwards,13 North Brown Township,ED000090,Governor,,DEM,Paul Davis,5
Edwards,14 Trenton Township,ED000111,Governor,,DEM,Paul Davis,5
Edwards,15 South Brown Township,ED000100,Governor,,DEM,Paul Davis,9
Edwards,01 Kinsley Ward 1,ED000050,Governor,,LIB,Keen Umbehr,8
Edwards,02 Kinsley Ward 2,ED000060,Governor,,LIB,Keen Umbehr,8
Edwards,03 Lewis City,ED000122,Governor,,LIB,Keen Umbehr,5
Edwards,04 Offerle City,ED000112,Governor,,LIB,Keen Umbehr,3
Edwards,05 Belpre City,ED000012,Governor,,LIB,Keen Umbehr,1
Edwards,06 Logan Township,ED000080,Governor,,LIB,Keen Umbehr,1
Edwards,07 Jackson Township,ED000030,Governor,,LIB,Keen Umbehr,1
Edwards,08 Kinsley Township,ED000040,Governor,,LIB,Keen Umbehr,1
Edwards,09 Wayne Township,ED000121,Governor,,LIB,Keen Umbehr,3
Edwards,10 Belpre Township,ED000011,Governor,,LIB,Keen Umbehr,2
Edwards,11 Lincoln Township,ED000070,Governor,,LIB,Keen Umbehr,2
Edwards,12 Franklin Township,ED000020,Governor,,LIB,Keen Umbehr,1
Edwards,13 North Brown Township,ED000090,Governor,,LIB,Keen Umbehr,0
Edwards,14 Trenton Township,ED000111,Governor,,LIB,Keen Umbehr,2
Edwards,15 South Brown Township,ED000100,Governor,,LIB,Keen Umbehr,0
Edwards,01 Kinsley Ward 1,ED000050,Secretary of State,,REP,Kris Kobach,203
Edwards,02 Kinsley Ward 2,ED000060,Secretary of State,,REP,Kris Kobach,181
Edwards,03 Lewis City,ED000122,Secretary of State,,REP,Kris Kobach,88
Edwards,04 Offerle City,ED000112,Secretary of State,,REP,Kris Kobach,58
Edwards,05 Belpre City,ED000012,Secretary of State,,REP,Kris Kobach,14
Edwards,06 Logan Township,ED000080,Secretary of State,,REP,Kris Kobach,10
Edwards,07 Jackson Township,ED000030,Secretary of State,,REP,Kris Kobach,28
Edwards,08 Kinsley Township,ED000040,Secretary of State,,REP,Kris Kobach,52
Edwards,09 Wayne Township,ED000121,Secretary of State,,REP,Kris Kobach,44
Edwards,10 Belpre Township,ED000011,Secretary of State,,REP,Kris Kobach,32
Edwards,11 Lincoln Township,ED000070,Secretary of State,,REP,Kris Kobach,51
Edwards,12 Franklin Township,ED000020,Secretary of State,,REP,Kris Kobach,41
Edwards,13 North Brown Township,ED000090,Secretary of State,,REP,Kris Kobach,19
Edwards,14 Trenton Township,ED000111,Secretary of State,,REP,Kris Kobach,30
Edwards,15 South Brown Township,ED000100,Secretary of State,,REP,Kris Kobach,38
Edwards,01 Kinsley Ward 1,ED000050,Secretary of State,,DEM,Jean Schodorf,72
Edwards,02 Kinsley Ward 2,ED000060,Secretary of State,,DEM,Jean Schodorf,72
Edwards,03 Lewis City,ED000122,Secretary of State,,DEM,Jean Schodorf,30
Edwards,04 Offerle City,ED000112,Secretary of State,,DEM,Jean Schodorf,16
Edwards,05 Belpre City,ED000012,Secretary of State,,DEM,Jean Schodorf,8
Edwards,06 Logan Township,ED000080,Secretary of State,,DEM,Jean Schodorf,5
Edwards,07 Jackson Township,ED000030,Secretary of State,,DEM,Jean Schodorf,5
Edwards,08 Kinsley Township,ED000040,Secretary of State,,DEM,Jean Schodorf,9
Edwards,09 Wayne Township,ED000121,Secretary of State,,DEM,Jean Schodorf,3
Edwards,10 Belpre Township,ED000011,Secretary of State,,DEM,Jean Schodorf,8
Edwards,11 Lincoln Township,ED000070,Secretary of State,,DEM,Jean Schodorf,10
Edwards,12 Franklin Township,ED000020,Secretary of State,,DEM,Jean Schodorf,0
Edwards,13 North Brown Township,ED000090,Secretary of State,,DEM,Jean Schodorf,5
Edwards,14 Trenton Township,ED000111,Secretary of State,,DEM,Jean Schodorf,6
Edwards,15 South Brown Township,ED000100,Secretary of State,,DEM,Jean Schodorf,2
Edwards,01 Kinsley Ward 1,ED000050,Secretary of State,,,Write-ins,1
Edwards,02 Kinsley Ward 2,ED000060,Secretary of State,,,Write-ins,0
Edwards,03 Lewis City,ED000122,Secretary of State,,,Write-ins,1
Edwards,04 Offerle City,ED000112,Secretary of State,,,Write-ins,0
Edwards,05 Belpre City,ED000012,Secretary of State,,,Write-ins,0
Edwards,06 Logan Township,ED000080,Secretary of State,,,Write-ins,0
Edwards,07 Jackson Township,ED000030,Secretary of State,,,Write-ins,0
