county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,US Senate,,R,Pat Roberts,87,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,US Senate,,R,Pat Roberts,85,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,US Senate,,R,Pat Roberts,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,US Senate,,R,Pat Roberts,48,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,US Senate,,R,Pat Roberts,64,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,US Senate,,R,Pat Roberts,155,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,US Senate,,R,Pat Roberts,51,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,US Senate,,R,Pat Roberts,17,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,US Senate,,R,Pat Roberts,65,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,US Senate,,R,Pat Roberts,79,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,US Senate,,R,Pat Roberts,11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,US Senate,,R,Pat Roberts,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,US Senate,,I,Greg Orman,34,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,US Senate,,I,Greg Orman,11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,US Senate,,I,Greg Orman,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,US Senate,,I,Greg Orman,22,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,US Senate,,I,Greg Orman,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,US Senate,,I,Greg Orman,41,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,US Senate,,I,Greg Orman,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,US Senate,,I,Greg Orman,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,US Senate,,I,Greg Orman,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,US Senate,,I,Greg Orman,16,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,US Senate,,I,Greg Orman,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,US Senate,,I,Greg Orman,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,US Senate,,L,Randall Batson,5,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,US Senate,,L,Randall Batson,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,US Senate,,L,Randall Batson,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,US Senate,,L,Randall Batson,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,US Senate,,L,Randall Batson,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,US Senate,,L,Randall Batson,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,US Senate,,L,Randall Batson,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,US Senate,,L,Randall Batson,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,US Senate,,L,Randall Batson,8,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,US Senate,,L,Randall Batson,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,US Senate,,L,Randall Batson,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,US Senate,,L,Randall Batson,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Congress 4,CD4,R,Mike Pompeo,101,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Congress 4,CD4,R,Mike Pompeo,82,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Congress 4,CD4,R,Mike Pompeo,17,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Congress 4,CD4,R,Mike Pompeo,55,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Congress 4,CD4,R,Mike Pompeo,71,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Congress 4,CD4,R,Mike Pompeo,178,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Congress 4,CD4,R,Mike Pompeo,50,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Congress 4,CD4,R,Mike Pompeo,24,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Congress 4,CD4,R,Mike Pompeo,75,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Congress 4,CD4,R,Mike Pompeo,88,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Congress 4,CD4,R,Mike Pompeo,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Congress 4,CD4,R,Mike Pompeo,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Congress 4,CD4,D,Perry Schuckman,22,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Congress 4,CD4,D,Perry Schuckman,11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Congress 4,CD4,D,Perry Schuckman,6,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Congress 4,CD4,D,Perry Schuckman,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Congress 4,CD4,D,Perry Schuckman,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Congress 4,CD4,D,Perry Schuckman,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Congress 4,CD4,D,Perry Schuckman,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Congress 4,CD4,D,Perry Schuckman,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Congress 4,CD4,D,Perry Schuckman,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Congress 4,CD4,D,Perry Schuckman,8,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Congress 4,CD4,D,Perry Schuckman,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Congress 4,CD4,D,Perry Schuckman,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Governor,,R,Sam Brownback,73,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Governor,,R,Sam Brownback,72,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Governor,,R,Sam Brownback,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Governor,,R,Sam Brownback,41,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Governor,,R,Sam Brownback,49,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Governor,,R,Sam Brownback,150,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Governor,,R,Sam Brownback,46,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Governor,,R,Sam Brownback,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Governor,,R,Sam Brownback,59,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Governor,,R,Sam Brownback,72,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Governor,,R,Sam Brownback,8,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Governor,,R,Sam Brownback,11,,,,,,,,,,,,,,,,,,,,,,,
