county,precinct,office,district,party,candidate,TOTAL
Trego,Collyer Township,Attorney,,D,A J Kotich,12
Trego,Franklin Township,Attorney,,D,A J Kotich,7
Trego,Glencoe Township,Attorney,,D,A J Kotich,1
Trego,Ogallah Township,Attorney,,D,A J Kotich,23
Trego,Riverside Township,Attorney,,D,A J Kotich,11
Trego,WaKeeney Township,Attorney,,D,A J Kotich,28
Trego,Wilcox Township,Attorney,,D,A J Kotich,4
Trego,Collyer City,Attorney,,D,A J Kotich,1
Trego,WaKeeney City Central ,Attorney,,D,A J Kotich,48
Trego,WaKeeney City East,Attorney,,D,A J Kotich,37
Trego,WaKeeney City West,Attorney,,D,A J Kotich,47
Trego,Collyer Township,Attorney,,R,Derek Schmidt,62
Trego,Franklin Township,Attorney,,R,Derek Schmidt,11
Trego,Glencoe Township,Attorney,,R,Derek Schmidt,32
Trego,Ogallah Township,Attorney,,R,Derek Schmidt,54
Trego,Riverside Township,Attorney,,R,Derek Schmidt,28
Trego,WaKeeney Township,Attorney,,R,Derek Schmidt,153
Trego,Wilcox Township,Attorney,,R,Derek Schmidt,25
Trego,Collyer City,Attorney,,R,Derek Schmidt,34
Trego,WaKeeney City Central ,Attorney,,R,Derek Schmidt,187
Trego,WaKeeney City East,Attorney,,R,Derek Schmidt,160
Trego,WaKeeney City West,Attorney,,R,Derek Schmidt,194
Trego,Collyer Township,Congress 1,1,D,James E Sherow,14
Trego,Franklin Township,Congress 1,1,D,James E Sherow,6
Trego,Glencoe Township,Congress 1,1,D,James E Sherow,4
Trego,Ogallah Township,Congress 1,1,D,James E Sherow,27
Trego,Riverside Township,Congress 1,1,D,James E Sherow,15
Trego,WaKeeney Township,Congress 1,1,D,James E Sherow,49
Trego,Wilcox Township,Congress 1,1,D,James E Sherow,3
Trego,Collyer City,Congress 1,1,D,James E Sherow,2
Trego,WaKeeney City Central ,Congress 1,1,D,James E Sherow,69
Trego,WaKeeney City East,Congress 1,1,D,James E Sherow,50
Trego,WaKeeney City West,Congress 1,1,D,James E Sherow,59
Trego,Collyer Township,Congress 1,1,D,Tim Huelskamp,63
Trego,Franklin Township,Congress 1,1,D,Tim Huelskamp,12
Trego,Glencoe Township,Congress 1,1,D,Tim Huelskamp,31
Trego,Ogallah Township,Congress 1,1,D,Tim Huelskamp,51
Trego,Riverside Township,Congress 1,1,D,Tim Huelskamp,26
Trego,WaKeeney Township,Congress 1,1,D,Tim Huelskamp,133
Trego,Wilcox Township,Congress 1,1,D,Tim Huelskamp,26
Trego,Collyer City,Congress 1,1,D,Tim Huelskamp,33
Trego,WaKeeney City Central ,Congress 1,1,D,Tim Huelskamp,171
Trego,WaKeeney City East,Congress 1,1,D,Tim Huelskamp,149
Trego,WaKeeney City West,Congress 1,1,D,Tim Huelskamp,187
Trego,Collyer Township,Governor,,L,Keen A Umbehr,4
Trego,Franklin Township,Governor,,L,Keen A Umbehr,0
Trego,Glencoe Township,Governor,,L,Keen A Umbehr,0
Trego,Ogallah Township,Governor,,L,Keen A Umbehr,3
Trego,Riverside Township,Governor,,L,Keen A Umbehr,1
Trego,WaKeeney Township,Governor,,L,Keen A Umbehr,5
Trego,Wilcox Township,Governor,,L,Keen A Umbehr,2
Trego,Collyer City,Governor,,L,Keen A Umbehr,3
Trego,WaKeeney City Central ,Governor,,L,Keen A Umbehr,12
Trego,WaKeeney City East,Governor,,L,Keen A Umbehr,11
