county,code,precinct,office,district,party,candidate,votes
Riley,RI01,W1P1,Attorney General,,D,A.J. Kotich,260
Riley,RI02,W2P1,Attorney General,,D,A.J. Kotich,234
Riley,RI03,W2P2,Attorney General,,D,A.J. Kotich,108
Riley,RI04,W2P3,Attorney General,,D,A.J. Kotich,338
Riley,RI05,W2P4,Attorney General,,D,A.J. Kotich,152
Riley,RI06,W3P2,Attorney General,,D,A.J. Kotich,110
Riley,RI07,W3P3,Attorney General,,D,A.J. Kotich,204
Riley,RI08,W4P2,Attorney General,,D,A.J. Kotich,94
Riley,RI09,W4P3,Attorney General,,D,A.J. Kotich,251
Riley,RI10,W4P4,Attorney General,,D,A.J. Kotich,370
Riley,RI11,W4P5,Attorney General,,D,A.J. Kotich,181
Riley,RI12,W4P6,Attorney General,,D,A.J. Kotich,61
Riley,RI13,W4P7,Attorney General,,D,A.J. Kotich,2
Riley,RI14,W5P2,Attorney General,,D,A.J. Kotich,273
Riley,RI15,W5P3,Attorney General,,D,A.J. Kotich,234
Riley,RI16,W5P5,Attorney General,,D,A.J. Kotich,100
Riley,RI17,W5P6,Attorney General,,D,A.J. Kotich,206
Riley,RI18,W5P7,Attorney General,,D,A.J. Kotich,94
Riley,RI19,W5P8,Attorney General,,D,A.J. Kotich,132
Riley,RI20,W5P9,Attorney General,,D,A.J. Kotich,347
Riley,RI21,W5P10,Attorney General,,D,A.J. Kotich,334
Riley,RI22,W5P11,Attorney General,,D,A.J. Kotich,334
Riley,RI23,W6P1,Attorney General,,D,A.J. Kotich,0
Riley,RI24,W8P1,Attorney General,,D,A.J. Kotich,59
Riley,RI25,W8P2,Attorney General,,D,A.J. Kotich,1
Riley,RI26,W8P3,Attorney General,,D,A.J. Kotich,64
Riley,RI27,W9P1,Attorney General,,D,A.J. Kotich,28
Riley,RI28,W9P2,Attorney General,,D,A.J. Kotich,50
Riley,RI29,W9P3,Attorney General,,D,A.J. Kotich,11
Riley,RI30,W10P1,Attorney General,,D,A.J. Kotich,17
Riley,RI31,W11P1,Attorney General,,D,A.J. Kotich,47
Riley,RI32,W11P1B,Attorney General,,D,A.J. Kotich,35
Riley,RI33,W11P3,Attorney General,,D,A.J. Kotich,2
Riley,RI34,Ashland,Attorney General,,D,A.J. Kotich,37
Riley,RI35,Bala,Attorney General,,D,A.J. Kotich,38
Riley,RI36,Center,Attorney General,,D,A.J. Kotich,3
Riley,RI37,Fancy Creek,Attorney General,,D,A.J. Kotich,4
Riley,RI38,Grant ,Attorney General,,D,A.J. Kotich,141
Riley,RI39,Jackson,Attorney General,,D,A.J. Kotich,27
Riley,RI40,Madison H64,Attorney General,,D,A.J. Kotich,100
Riley,RI41,Madison H67,Attorney General,,D,A.J. Kotich,1
Riley,RI42,Man twp 1,Attorney General,,D,A.J. Kotich,71
Riley,RI43,Man twp 2,Attorney General,,D,A.J. Kotich,90
Riley,RI44,Man twp 3,Attorney General,,D,A.J. Kotich,21
Riley,RI45,Man twp 4,Attorney General,,D,A.J. Kotich,61
Riley,RI46,May Day,Attorney General,,D,A.J. Kotich,1
Riley,RI47,Ogden,Attorney General,,D,A.J. Kotich,26
Riley,RI48,Ogden/Ft Ril,Attorney General,,D,A.J. Kotich,68
Riley,RI49,Sherman,Attorney General,,D,A.J. Kotich,52
Riley,RI50,Swede Creek,Attorney General,,D,A.J. Kotich,18
Riley,RI51,Wildcat,Attorney General,,D,A.J. Kotich,81
Riley,RI52,Zeandale,Attorney General,,D,A.J. Kotich,48
Riley,RI53,Mad/Ft Ril A,Attorney General,,D,A.J. Kotich,4
Riley,RI54,Mad/Ft Ril B,Attorney General,,D,A.J. Kotich,3
Riley,RI99,RILEY KS,Attorney General,,D,A.J. Kotich,5628
Riley,RI01,W1P1,Attorney General,,R,Derek Schmidt,202
Riley,RI02,W2P1,Attorney General,,R,Derek Schmidt,154
Riley,RI03,W2P2,Attorney General,,R,Derek Schmidt,78
Riley,RI04,W2P3,Attorney General,,R,Derek Schmidt,492
Riley,RI05,W2P4,Attorney General,,R,Derek Schmidt,289
Riley,RI06,W3P2,Attorney General,,R,Derek Schmidt,77
Riley,RI07,W3P3,Attorney General,,R,Derek Schmidt,281
Riley,RI08,W4P2,Attorney General,,R,Derek Schmidt,111
Riley,RI09,W4P3,Attorney General,,R,Derek Schmidt,240
Riley,RI10,W4P4,Attorney General,,R,Derek Schmidt,559
Riley,RI11,W4P5,Attorney General,,R,Derek Schmidt,285
Riley,RI12,W4P6,Attorney General,,R,Derek Schmidt,175
Riley,RI13,W4P7,Attorney General,,R,Derek Schmidt,12
Riley,RI14,W5P2,Attorney General,,R,Derek Schmidt,173
Riley,RI15,W5P3,Attorney General,,R,Derek Schmidt,206
Riley,RI16,W5P5,Attorney General,,R,Derek Schmidt,154
Riley,RI17,W5P6,Attorney General,,R,Derek Schmidt,406
Riley,RI18,W5P7,Attorney General,,R,Derek Schmidt,147
Riley,RI19,W5P8,Attorney General,,R,Derek Schmidt,250
Riley,RI20,W5P9,Attorney General,,R,Derek Schmidt,643
Riley,RI21,W5P10,Attorney General,,R,Derek Schmidt,630
Riley,RI22,W5P11,Attorney General,,R,Derek Schmidt,643
Riley,RI23,W6P1,Attorney General,,R,Derek Schmidt,2
Riley,RI24,W8P1,Attorney General,,R,Derek Schmidt,79
Riley,RI25,W8P2,Attorney General,,R,Derek Schmidt,0
Riley,RI26,W8P3,Attorney General,,R,Derek Schmidt,94
Riley,RI27,W9P1,Attorney General,,R,Derek Schmidt,62
Riley,RI28,W9P2,Attorney General,,R,Derek Schmidt,64
Riley,RI29,W9P3,Attorney General,,R,Derek Schmidt,25
Riley,RI30,W10P1,Attorney General,,R,Derek Schmidt,16
Riley,RI31,W11P1,Attorney General,,R,Derek Schmidt,65
Riley,RI32,W11P1B,Attorney General,,R,Derek Schmidt,64
Riley,RI33,W11P3,Attorney General,,R,Derek Schmidt,19
Riley,RI34,Ashland,Attorney General,,R,Derek Schmidt,58
Riley,RI35,Bala,Attorney General,,R,Derek Schmidt,225
Riley,RI36,Center,Attorney General,,R,Derek Schmidt,37
Riley,RI37,Fancy Creek,Attorney General,,R,Derek Schmidt,52
Riley,RI38,Grant ,Attorney General,,R,Derek Schmidt,378
Riley,RI39,Jackson,Attorney General,,R,Derek Schmidt,98
Riley,RI40,Madison H64,Attorney General,,R,Derek Schmidt,298
Riley,RI41,Madison H67,Attorney General,,R,Derek Schmidt,14
Riley,RI42,Man twp 1,Attorney General,,R,Derek Schmidt,170
Riley,RI43,Man twp 2,Attorney General,,R,Derek Schmidt,167
Riley,RI44,Man twp 3,Attorney General,,R,Derek Schmidt,66
Riley,RI45,Man twp 4,Attorney General,,R,Derek Schmidt,155
Riley,RI46,May Day,Attorney General,,R,Derek Schmidt,34
Riley,RI47,Ogden,Attorney General,,R,Derek Schmidt,130
Riley,RI48,Ogden/Ft Ril,Attorney General,,R,Derek Schmidt,179
Riley,RI49,Sherman,Attorney General,,R,Derek Schmidt,187
Riley,RI50,Swede Creek,Attorney General,,R,Derek Schmidt,39
Riley,RI51,Wildcat,Attorney General,,R,Derek Schmidt,331
Riley,RI52,Zeandale,Attorney General,,R,Derek Schmidt,129
