STATE,COUNTY,precinct,office,district,party,candidate,votes
Kansas,Labette,Parsons W1P1,US Senate,,R,Pat Roberts,121
Kansas,Labette,Parsons W1P2,US Senate,,R,Pat Roberts,56
Kansas,Labette,Parsons W1P3,US Senate,,R,Pat Roberts,36
Kansas,Labette,Parsons W2P1,US Senate,,R,Pat Roberts,36
Kansas,Labette,Parsons W2P2,US Senate,,R,Pat Roberts,96
Kansas,Labette,Parsons W2P3,US Senate,,R,Pat Roberts,80
Kansas,Labette,Parsons W3P1,US Senate,,R,Pat Roberts,46
Kansas,Labette,Parsons W3P2,US Senate,,R,Pat Roberts,95
Kansas,Labette,Parsons W3P3,US Senate,,R,Pat Roberts,94
Kansas,Labette,Parsons W3P4,US Senate,,R,Pat Roberts,124
Kansas,Labette,Parsons W4P1,US Senate,,R,Pat Roberts,61
Kansas,Labette,Parsons W4P2,US Senate,,R,Pat Roberts,62
Kansas,Labette,Parsons W4P3,US Senate,,R,Pat Roberts,55
Kansas,Labette,Parsons W4P4,US Senate,,R,Pat Roberts,110
Kansas,Labette,City of Chetopa W1,US Senate,,R,Pat Roberts,38
Kansas,Labette,City of Chetopa W2,US Senate,,R,Pat Roberts,40
Kansas,Labette,City of Chetopa W3,US Senate,,R,Pat Roberts,54
Kansas,Labette,City of Oswego W1,US Senate,,R,Pat Roberts,104
Kansas,Labette,City of Oswego W2,US Senate,,R,Pat Roberts,90
Kansas,Labette,City of Oswego W3,US Senate,,R,Pat Roberts,58
Kansas,Labette,Canada,US Senate,,R,Pat Roberts,74
Kansas,Labette,Elm Grove,US Senate,,R,Pat Roberts,228
Kansas,Labette,Fairview,US Senate,,R,Pat Roberts,58
Kansas,Labette,Hackberry,US Senate,,R,Pat Roberts,74
Kansas,Labette,Howard,US Senate,,R,Pat Roberts,86
Kansas,Labette,Labette,US Senate,,R,Pat Roberts,107
Kansas,Labette,Liberty,US Senate,,R,Pat Roberts,89
Kansas,Labette,Montana,US Senate,,R,Pat Roberts,41
Kansas,Labette,Mound Valley,US Senate,,R,Pat Roberts,167
Kansas,Labette,Mt Pleasant,US Senate,,R,Pat Roberts,259
Kansas,Labette,Neosho,US Senate,,R,Pat Roberts,39
Kansas,Labette,North,US Senate,,R,Pat Roberts,127
Kansas,Labette,Osage,US Senate,,R,Pat Roberts,148
Kansas,Labette,Oswego,US Senate,,R,Pat Roberts,56
Kansas,Labette,Richland 1A,US Senate,,R,Pat Roberts,12
Kansas,Labette,Richland 1B,US Senate,,R,Pat Roberts,8
Kansas,Labette,Richland 7,US Senate,,R,Pat Roberts,25
Kansas,Labette,Walton,US Senate,,R,Pat Roberts,160
