COUNTY,PRECINCT,,,,,
Mitchell,Logan,Governor,,L,Keen Umbehr,1
Mitchell,Asherville,Governor,,L,Keen Umbehr,2
Mitchell,Lulu,Governor,,L,Keen Umbehr,0
Mitchell,Prov,Governor,,L,Keen Umbehr,2
Mitchell,Ward 1,Secretary,,R,Kris Kobach,127
Mitchell,Ward 2,Secretary,,R,Kris Kobach,243
Mitchell,Ward 3,Secretary,,R,Kris Kobach,251
Mitchell,Ward 4,Secretary,,R,Kris Kobach,209
Mitchell,Beloit,Secretary,,R,Kris Kobach,85
Mitchell,Custer,Secretary,,R,Kris Kobach,29
Mitchell,Pittsburg,Secretary,,R,Kris Kobach,106
Mitchell,Carr Ck,Secretary,,R,Kris Kobach,11
Mitchell,Cawker,Secretary,,R,Kris Kobach,134
Mitchell,Blue Hill,Secretary,,R,Kris Kobach,15
Mitchell,Hayes,Secretary,,R,Kris Kobach,9
Mitchell,Walnut Ck,Secretary,,R,Kris Kobach,15
Mitchell,Glen Elder,Secretary,,R,Kris Kobach,159
Mitchell,Round Spr,Secretary,,R,Kris Kobach,12
Mitchell,Center,Secretary,,R,Kris Kobach,8
Mitchell,Solomon,Secretary,,R,Kris Kobach,19
Mitchell,Turkey Ck,Secretary,,R,Kris Kobach,45
Mitchell,Salt Ck,Secretary,,R,Kris Kobach,10
Mitchell,Bloomfield,Secretary,,R,Kris Kobach,26
Mitchell,Plum Ck,Secretary,,R,Kris Kobach,50
Mitchell,Eureka,Secretary,,R,Kris Kobach,10
Mitchell,Logan,Secretary,,R,Kris Kobach,29
Mitchell,Asherville,Secretary,,R,Kris Kobach,32
Mitchell,Lulu,Secretary,,R,Kris Kobach,26
Mitchell,Prov,Secretary,,R,Kris Kobach,29
Mitchell,Ward 1,SEC,,D,Jean Schodorf,67
Mitchell,Ward 2,SEC,,D,Jean Schodorf,114
Mitchell,Ward 3,SEC,,D,Jean Schodorf,104
Mitchell,Ward 4,SEC,,D,Jean Schodorf,73
Mitchell,Beloit,SEC,,D,Jean Schodorf,26
Mitchell,Custer,SEC,,D,Jean Schodorf,19
Mitchell,Pittsburg,SEC,,D,Jean Schodorf,33
Mitchell,Carr Ck,SEC,,D,Jean Schodorf,0
Mitchell,Cawker,SEC,,D,Jean Schodorf,45
Mitchell,Blue Hill,SEC,,D,Jean Schodorf,4
Mitchell,Hayes,SEC,,D,Jean Schodorf,4
Mitchell,Walnut Ck,SEC,,D,Jean Schodorf,5
Mitchell,Glen Elder,SEC,,D,Jean Schodorf,46
Mitchell,Round Spr,SEC,,D,Jean Schodorf,2
Mitchell,Center,SEC,,D,Jean Schodorf,4
Mitchell,Solomon,SEC,,D,Jean Schodorf,8
Mitchell,Turkey Ck,SEC,,D,Jean Schodorf,7
Mitchell,Salt Ck,SEC,,D,Jean Schodorf,2
Mitchell,Bloomfield,SEC,,D,Jean Schodorf,7
Mitchell,Plum Ck,SEC,,D,Jean Schodorf,4
Mitchell,Eureka,SEC,,D,Jean Schodorf,4
Mitchell,Logan,SEC,,D,Jean Schodorf,8
Mitchell,Asherville,SEC,,D,Jean Schodorf,12
Mitchell,Lulu,SEC,,D,Jean Schodorf,1
Mitchell,Prov,SEC,,D,Jean Schodorf,3
Mitchell,Ward 1,Attorney,,R,Derek Schmidt,159
Mitchell,Ward 2,Attorney,,R,Derek Schmidt,272
Mitchell,Ward 3,Attorney,,R,Derek Schmidt,281
Mitchell,Ward 4,Attorney,,R,Derek Schmidt,233
Mitchell,Beloit,Attorney,,R,Derek Schmidt,98
Mitchell,Custer,Attorney,,R,Derek Schmidt,37
Mitchell,Pittsburg,Attorney,,R,Derek Schmidt,126
Mitchell,Carr Ck,Attorney,,R,Derek Schmidt,11
Mitchell,Cawker,Attorney,,R,Derek Schmidt,153
Mitchell,Blue Hill,Attorney,,R,Derek Schmidt,19
Mitchell,Hayes,Attorney,,R,Derek Schmidt,10
Mitchell,Walnut Ck,Attorney,,R,Derek Schmidt,14
Mitchell,Glen Elder,Attorney,,R,Derek Schmidt,168
Mitchell,Round Spr,Attorney,,R,Derek Schmidt,12
Mitchell,Center,Attorney,,R,Derek Schmidt,12
Mitchell,Solomon,Attorney,,R,Derek Schmidt,20
Mitchell,Turkey Ck,Attorney,,R,Derek Schmidt,50
Mitchell,Salt Ck,Attorney,,R,Derek Schmidt,10
Mitchell,Bloomfield,Attorney,,R,Derek Schmidt,29
Mitchell,Plum Ck,Attorney,,R,Derek Schmidt,52
Mitchell,Eureka,Attorney,,R,Derek Schmidt,12
Mitchell,Logan,Attorney,,R,Derek Schmidt,31
Mitchell,Asherville,Attorney,,R,Derek Schmidt,35
Mitchell,Lulu,Attorney,,R,Derek Schmidt,25
Mitchell,Prov,Attorney,,R,Derek Schmidt,28
Mitchell,Ward 1,Attorney,,D,AJ Kotich,32
Mitchell,Ward 2,Attorney,,D,AJ Kotich,80
Mitchell,Ward 3,Attorney,,D,AJ Kotich,66
Mitchell,Ward 4,Attorney,,D,AJ Kotich,41
Mitchell,Beloit,Attorney,,D,AJ Kotich,16
Mitchell,Custer,Attorney,,D,AJ Kotich,10
Mitchell,Pittsburg,Attorney,,D,AJ Kotich,12
Mitchell,Carr Ck,Attorney,,D,AJ Kotich,0
Mitchell,Cawker,Attorney,,D,AJ Kotich,27
Mitchell,Blue Hill,Attorney,,D,AJ Kotich,0
Mitchell,Hayes,Attorney,,D,AJ Kotich,3
Mitchell,Walnut Ck,Attorney,,D,AJ Kotich,5
Mitchell,Glen Elder,Attorney,,D,AJ Kotich,34
Mitchell,Round Spr,Attorney,,D,AJ Kotich,2
Mitchell,Center,Attorney,,D,AJ Kotich,0
Mitchell,Solomon,Attorney,,D,AJ Kotich,7
Mitchell,Turkey Ck,Attorney,,D,AJ Kotich,2
Mitchell,Salt Ck,Attorney,,D,AJ Kotich,2
Mitchell,Bloomfield,Attorney,,D,AJ Kotich,4
Mitchell,Plum Ck,Attorney,,D,AJ Kotich,3
Mitchell,Eureka,Attorney,,D,AJ Kotich,2
Mitchell,Logan,Attorney,,D,AJ Kotich,6
Mitchell,Asherville,Attorney,,D,AJ Kotich,9
Mitchell,Lulu,Attorney,,D,AJ Kotich,2
Mitchell,Prov,Attorney,,D,AJ Kotich,4
Mitchell,Ward 1,Treasurer,,R,Ron Estes,148
Mitchell,Ward 2,Treasurer,,R,Ron Estes,271
Mitchell,Ward 3,Treasurer,,R,Ron Estes,282
Mitchell,Ward 4,Treasurer,,R,Ron Estes,232
Mitchell,Beloit,Treasurer,,R,Ron Estes,96
Mitchell,Custer,Treasurer,,R,Ron Estes,38
Mitchell,Pittsburg,Treasurer,,R,Ron Estes,123
Mitchell,Carr Ck,Treasurer,,R,Ron Estes,11
Mitchell,Cawker,Treasurer,,R,Ron Estes,145
Mitchell,Blue Hill,Treasurer,,R,Ron Estes,18
Mitchell,Hayes,Treasurer,,R,Ron Estes,10
Mitchell,Walnut Ck,Treasurer,,R,Ron Estes,13
Mitchell,Glen Elder,Treasurer,,R,Ron Estes,161
Mitchell,Round Spr,Treasurer,,R,Ron Estes,14
Mitchell,Center,Treasurer,,R,Ron Estes,12
Mitchell,Solomon,Treasurer,,R,Ron Estes,22
Mitchell,Turkey Ck,Treasurer,,R,Ron Estes,50
Mitchell,Salt Ck,Treasurer,,R,Ron Estes,10
Mitchell,Bloomfield,Treasurer,,R,Ron Estes,29
Mitchell,Plum Ck,Treasurer,,R,Ron Estes,51
Mitchell,Eureka,Treasurer,,R,Ron Estes,9
Mitchell,Logan,Treasurer,,R,Ron Estes,30
Mitchell,Asherville,Treasurer,,R,Ron Estes,35
Mitchell,Lulu,Treasurer,,R,Ron Estes,25
Mitchell,Prov,Treasurer,,R,Ron Estes,27
Mitchell,Ward 1,Treasurer,,D,Carmen Alldritt,41
Mitchell,Ward 2,Treasurer,,D,Carmen Alldritt,80
Mitchell,Ward 3,Treasurer,,D,Carmen Alldritt,62
Mitchell,Ward 4,Treasurer,,D,Carmen Alldritt,44
Mitchell,Beloit,Treasurer,,D,Carmen Alldritt,18
Mitchell,Custer,Treasurer,,D,Carmen Alldritt,9
Mitchell,Pittsburg,Treasurer,,D,Carmen Alldritt,13
Mitchell,Carr Ck,Treasurer,,D,Carmen Alldritt,0
Mitchell,Cawker,Treasurer,,D,Carmen Alldritt,36
Mitchell,Blue Hill,Treasurer,,D,Carmen Alldritt,1
Mitchell,Hayes,Treasurer,,D,Carmen Alldritt,2
