county,precinct,office,district,party,candidate,votes
Greenwood,Bachelor,Attorney,,D,A.J. Kotich,13
Greenwood,Eureka twp,Attorney,,D,A.J. Kotich,31
Greenwood,Fall River,Attorney,,D,A.J. Kotich,21
Greenwood,Janesville,Attorney,,D,A.J. Kotich,19
Greenwood,Lane,Attorney,,D,A.J. Kotich,6
Greenwood,Madison,Attorney,,D,A.J. Kotich,72
Greenwood,Otter Creek,Attorney,,D,A.J. Kotich,23
Greenwood,Pleasant Grv,Attorney,,D,A.J. Kotich,3
Greenwood,Quincy,Attorney,,D,A.J. Kotich,6
Greenwood,S Salem,Attorney,,D,A.J. Kotich,4
Greenwood,Saith Sprs,Attorney,,D,A.J. Kotich,23
Greenwood,Salem,Attorney,,D,A.J. Kotich,2
Greenwood,Shell Rock,Attorney,,D,A.J. Kotich,6
Greenwood,Spg Creek,Attorney,,D,A.J. Kotich,5
Greenwood,Twin Grove,Attorney,,D,A.J. Kotich,33
Greenwood,W1,Attorney,,D,A.J. Kotich,56
Greenwood,W2,Attorney,,D,A.J. Kotich,39
Greenwood,W3,Attorney,,D,A.J. Kotich,42
Greenwood,Bachelor,Attorney,,R,Derek Schmidt,65
Greenwood,Eureka twp,Attorney,,R,Derek Schmidt,126
Greenwood,Fall River,Attorney,,R,Derek Schmidt,61
Greenwood,Janesville,Attorney,,R,Derek Schmidt,140
Greenwood,Lane,Attorney,,R,Derek Schmidt,33
Greenwood,Madison,Attorney,,R,Derek Schmidt,268
Greenwood,Otter Creek,Attorney,,R,Derek Schmidt,56
Greenwood,Pleasant Grv,Attorney,,R,Derek Schmidt,21
Greenwood,Quincy,Attorney,,R,Derek Schmidt,44
Greenwood,S Salem,Attorney,,R,Derek Schmidt,31
Greenwood,Saith Sprs,Attorney,,R,Derek Schmidt,96
Greenwood,Salem,Attorney,,R,Derek Schmidt,9
Greenwood,Shell Rock,Attorney,,R,Derek Schmidt,67
Greenwood,Spg Creek,Attorney,,R,Derek Schmidt,31
Greenwood,Twin Grove,Attorney,,R,Derek Schmidt,130
Greenwood,W1,Attorney,,R,Derek Schmidt,213
Greenwood,W2,Attorney,,R,Derek Schmidt,154
Greenwood,W3,Attorney,,R,Derek Schmidt,192
