county,precinct,office,district,party,candidate,votes,,
Greeley,MSD,Voters,,,Registered,566,,
Greeley,GSD,Voters,,,Registered,287,,
Greeley,HC,Voters,,,Registered,73,,
Greeley,MSD,Voters,,,Cast,346,,
Greeley,GSD,Voters,,,Cast,174,,
Greeley,HC,Voters,,,Cast,56,,
Greeley,MSD,US Senate,,R,Pat Roberts,250,,
Greeley,GSD,US Senate,,R,Pat Roberts,138,,
Greeley,HC,US Senate,,R,Pat Roberts,38,,
Greeley,MSD,US Senate,,I,Greg Orman,72,,
Greeley,GSD,US Senate,,I,Greg Orman,28,,
Greeley,HC,US Senate,,I,Greg Orman,13,,
Greeley,MSD,US Senate,,L,Randall Batson,16,,
Greeley,GSD,US Senate,,L,Randall Batson,7,,
Greeley,HC,US Senate,,L,Randall Batson,4,,
Greeley,MSD,Congress 1,CD1,R,Tim Huelskamp,261,,
Greeley,GSD,Congress 1,CD1,R,Tim Huelskamp,138,,
Greeley,HC,Congress 1,CD1,R,Tim Huelskamp,45,,
Greeley,MSD,Congress 1,CD1,D,James Sherow,72,,
Greeley,GSD,Congress 1,CD1,D,James Sherow,28,,
Greeley,HC,Congress 1,CD1,D,James Sherow,8,,
Greeley,MSD,Governor,,R,Sam Brownback,219,,
Greeley,GSD,Governor,,R,Sam Brownback,127,,
Greeley,HC,Governor,,R,Sam Brownback,37,,
Greeley,MSD,Governor,,D,Paul Davis,100,,
Greeley,GSD,Governor,,D,Paul Davis,38,,
Greeley,HC,Governor,,D,Paul Davis,16,,
Greeley,MSD,Governor,,L,Keen Umbehr,17,,
Greeley,GSD,Governor,,L,Keen Umbehr,3,,
Greeley,HC,Governor,,L,Keen Umbehr,3,,
Greeley,MSD,Secretary,,R,Kris Kobach,268,,
Greeley,GSD,Secretary,,R,Kris Kobach,139,,
Greeley,HC,Secretary,,R,Kris Kobach,42,,
Greeley,MSD,Secretary,,D,Jean Schodorf,64,,
Greeley,GSD,Secretary,,D,Jean Schodorf,26,,
Greeley,HC,Secretary,,D,Jean Schodorf,12,,
Greeley,MSD,Attorney,,R,Derek Schmidt,277,,
Greeley,GSD,Attorney,,R,Derek Schmidt,143,,
Greeley,HC,Attorney,,R,Derek Schmidt,45,,
Greeley,MSD,Attorney,,D,AJ Kotich,52,,
Greeley,GSD,Attorney,,D,AJ Kotich,20,,
Greeley,HC,Attorney,,D,AJ Kotich,10,,
Greeley,MSD,Treasurer,,R,Ron Estes,293,,
Greeley,GSD,Treasurer,,R,Ron Estes,143,,
Greeley,HC,Treasurer,,R,Ron Estes,47,,
Greeley,MSD,Treasurer,,D,Carmen Alldritt,36,,
Greeley,GSD,Treasurer,,D,Carmen Alldritt,21,,
Greeley,HC,Treasurer,,D,Carmen Alldritt,7,,
Greeley,MSD,Insurance,,R,Ken Selzer,255,,
Greeley,GSD,Insurance,,R,Ken Selzer,135,,
Greeley,HC,Insurance,,R,Ken Selzer,46,,
Greeley,MSD,Insurance,,D,Dennis Anderson,62,,
Greeley,GSD,Insurance,,D,Dennis Anderson,22,,
Greeley,HC,Insurance,,D,Dennis Anderson,8,,
Greeley,MSD,SR122,H122,R,Russ Jennings [R],319,,
Greeley,GSD,SR122,H122,R,Russ Jennings [R],143,,
Greeley,HC,SR122,H122,R,Russ Jennings [R],56,,
