county,precinct,office,district,party,candidate,votes,,
Graham,Allodium Township,US Senate,,R,Pat Roberts,15,,
Graham,Bryant Township,US Senate,,R,Pat Roberts,27,,
Graham,Gettysburg Township,US Senate,,R,Pat Roberts,34,,
Graham,Graham Township,US Senate,,R,Pat Roberts,20,,
Graham,Happy Township,US Senate,,R,Pat Roberts,25,,
Graham,Hill City Precinct 1 H110,US Senate,,R,Pat Roberts,53,,
Graham,Hill City twp 71 H118,US Senate,,R,Pat Roberts,7,,
Graham,Hill City Precinct 2 H110,US Senate,,R,Pat Roberts,259,,
Graham,Hill City twp 72 H118,US Senate,,R,Pat Roberts,5,,
Graham,Hill City Precinct 3 H110,US Senate,,R,Pat Roberts,96,,
Graham,Hill City twp 73 H118,US Senate,,R,Pat Roberts,17,,
Graham,Indiana Township,US Senate,,R,Pat Roberts,11,,
Graham,Millbrook Township,US Senate,,R,Pat Roberts,52,,
Graham,Morlan Township,US Senate,,R,Pat Roberts,28,,
Graham,Nicodemus Township  H110,US Senate,,R,Pat Roberts,4,,
Graham,Nicodemus Township H118,US Senate,,R,Pat Roberts,4,,
Graham,Pioneer Township,US Senate,,R,Pat Roberts,16,,
Graham,Solomon Township,US Senate,,R,Pat Roberts,72,,
Graham,Wildhorse Township,US Senate,,R,Pat Roberts,54,,
Graham,Allodium Township,US Senate,,I,Greg Orman,0,,
Graham,Bryant Township,US Senate,,I,Greg Orman,5,,
Graham,Gettysburg Township,US Senate,,I,Greg Orman,5,,
Graham,Graham Township,US Senate,,I,Greg Orman,6,,
Graham,Happy Township,US Senate,,I,Greg Orman,6,,
Graham,Hill City Precinct 1 H110,US Senate,,I,Greg Orman,27,,
Graham,Hill City twp 71 H118,US Senate,,I,Greg Orman,0,,
Graham,Hill City Precinct 2 H110,US Senate,,I,Greg Orman,130,,
Graham,Hill City twp 72 H118,US Senate,,I,Greg Orman,2,,
Graham,Hill City Precinct 3 H110,US Senate,,I,Greg Orman,36,,
Graham,Hill City twp 73 H118,US Senate,,I,Greg Orman,7,,
Graham,Indiana Township,US Senate,,I,Greg Orman,4,,
Graham,Millbrook Township,US Senate,,I,Greg Orman,14,,
Graham,Morlan Township,US Senate,,I,Greg Orman,0,,
Graham,Nicodemus Township  H110,US Senate,,I,Greg Orman,2,,
Graham,Nicodemus Township H118,US Senate,,I,Greg Orman,4,,
Graham,Pioneer Township,US Senate,,I,Greg Orman,3,,
Graham,Solomon Township,US Senate,,I,Greg Orman,14,,
Graham,Wildhorse Township,US Senate,,I,Greg Orman,33,,
Graham,Allodium Township,US Senate,,L,Randall Batson,1,,
Graham,Bryant Township,US Senate,,L,Randall Batson,1,,
Graham,Gettysburg Township,US Senate,,L,Randall Batson,0,,
Graham,Graham Township,US Senate,,L,Randall Batson,0,,
Graham,Happy Township,US Senate,,L,Randall Batson,0,,
Graham,Hill City Precinct 1 H110,US Senate,,L,Randall Batson,6,,
Graham,Hill City twp 71 H118,US Senate,,L,Randall Batson,0,,
Graham,Hill City Precinct 2 H110,US Senate,,L,Randall Batson,11,,
Graham,Hill City twp 72 H118,US Senate,,L,Randall Batson,2,,
Graham,Hill City Precinct 3 H110,US Senate,,L,Randall Batson,7,,
Graham,Hill City twp 73 H118,US Senate,,L,Randall Batson,1,,
Graham,Indiana Township,US Senate,,L,Randall Batson,1,,
Graham,Millbrook Township,US Senate,,L,Randall Batson,1,,
Graham,Morlan Township,US Senate,,L,Randall Batson,1,,
Graham,Nicodemus Township  H110,US Senate,,L,Randall Batson,0,,
