county,precinct,office,district,party,candidate,votes,vtd
TREGO,WaKeeney City Central Precinct,State House,118,Republican,"Hineman, Don",211,000070
TREGO,WaKeeney City East Precinct,State House,118,Republican,"Hineman, Don",171,000080
TREGO,WaKeeney City West Precinct,State House,118,Republican,"Hineman, Don",206,000090
TREGO,WaKeeney Township,State House,118,Republican,"Hineman, Don",161,000100
TREGO,Wilcox Township,State House,118,Republican,"Hineman, Don",27,000110
TREGO,Collyer City,U.S. House,1,Democratic,"Sherow, James E.",2,000010
TREGO,Collyer City,U.S. House,1,Republican,"Huelskamp, Tim",33,000010
TREGO,Collyer Township,U.S. House,1,Democratic,"Sherow, James E.",14,000020
TREGO,Collyer Township,U.S. House,1,Republican,"Huelskamp, Tim",63,000020
TREGO,Franklin Township,U.S. House,1,Democratic,"Sherow, James E.",6,000030
TREGO,Franklin Township,U.S. House,1,Republican,"Huelskamp, Tim",12,000030
TREGO,Glencoe Township,U.S. House,1,Democratic,"Sherow, James E.",4,000040
TREGO,Glencoe Township,U.S. House,1,Republican,"Huelskamp, Tim",31,000040
TREGO,Ogallah Township,U.S. House,1,Democratic,"Sherow, James E.",27,000050
TREGO,Ogallah Township,U.S. House,1,Republican,"Huelskamp, Tim",51,000050
TREGO,Riverside Township,U.S. House,1,Democratic,"Sherow, James E.",15,000060
TREGO,Riverside Township,U.S. House,1,Republican,"Huelskamp, Tim",26,000060
TREGO,WaKeeney City Central Precinct,U.S. House,1,Democratic,"Sherow, James E.",69,000070
TREGO,WaKeeney City Central Precinct,U.S. House,1,Republican,"Huelskamp, Tim",171,000070
TREGO,WaKeeney City East Precinct,U.S. House,1,Democratic,"Sherow, James E.",50,000080
TREGO,WaKeeney City East Precinct,U.S. House,1,Republican,"Huelskamp, Tim",149,000080
TREGO,WaKeeney City West Precinct,U.S. House,1,Democratic,"Sherow, James E.",59,000090
TREGO,WaKeeney City West Precinct,U.S. House,1,Republican,"Huelskamp, Tim",187,000090
TREGO,WaKeeney Township,U.S. House,1,Democratic,"Sherow, James E.",49,000100
TREGO,WaKeeney Township,U.S. House,1,Republican,"Huelskamp, Tim",133,000100
TREGO,Wilcox Township,U.S. House,1,Democratic,"Sherow, James E.",3,000110
TREGO,Wilcox Township,U.S. House,1,Republican,"Huelskamp, Tim",26,000110
TREGO,Collyer City,Attorney General,,Democratic,"Kotich, A.J.",1,000010
TREGO,Collyer City,Attorney General,,Republican,"Schmidt, Derek",34,000010
TREGO,Collyer Township,Attorney General,,Democratic,"Kotich, A.J.",12,000020
TREGO,Collyer Township,Attorney General,,Republican,"Schmidt, Derek",62,000020
TREGO,Franklin Township,Attorney General,,Democratic,"Kotich, A.J.",7,000030
TREGO,Franklin Township,Attorney General,,Republican,"Schmidt, Derek",11,000030
TREGO,Glencoe Township,Attorney General,,Democratic,"Kotich, A.J.",1,000040
TREGO,Glencoe Township,Attorney General,,Republican,"Schmidt, Derek",32,000040
TREGO,Ogallah Township,Attorney General,,Democratic,"Kotich, A.J.",23,000050
TREGO,Ogallah Township,Attorney General,,Republican,"Schmidt, Derek",54,000050
TREGO,Riverside Township,Attorney General,,Democratic,"Kotich, A.J.",11,000060
TREGO,Riverside Township,Attorney General,,Republican,"Schmidt, Derek",28,000060
TREGO,WaKeeney City Central Precinct,Attorney General,,Democratic,"Kotich, A.J.",48,000070
TREGO,WaKeeney City Central Precinct,Attorney General,,Republican,"Schmidt, Derek",187,000070
TREGO,WaKeeney City East Precinct,Attorney General,,Democratic,"Kotich, A.J.",37,000080
TREGO,WaKeeney City East Precinct,Attorney General,,Republican,"Schmidt, Derek",160,000080
TREGO,WaKeeney City West Precinct,Attorney General,,Democratic,"Kotich, A.J.",47,000090
TREGO,WaKeeney City West Precinct,Attorney General,,Republican,"Schmidt, Derek",194,000090
TREGO,WaKeeney Township,Attorney General,,Democratic,"Kotich, A.J.",28,000100
TREGO,WaKeeney Township,Attorney General,,Republican,"Schmidt, Derek",153,000100
TREGO,Wilcox Township,Attorney General,,Democratic,"Kotich, A.J.",4,000110
TREGO,Wilcox Township,Attorney General,,Republican,"Schmidt, Derek",25,000110
TREGO,Collyer City,Commissioner of Insurance,,Democratic,"Anderson, Dennis",2,000010
