county,precinct,office,district,party,candidate,votes,vtd
HODGEMAN,Benton Township,Governor,,Democratic,"Davis, Paul",2,000010
HODGEMAN,Benton Township,Governor,,Libertarian,"Umbehr, Keen A.",0,000010
HODGEMAN,Benton Township,Governor,,Republican,"Brownback, Sam",27,000010
HODGEMAN,Marena Township,Governor,,Democratic,"Davis, Paul",34,000020
HODGEMAN,Marena Township,Governor,,Libertarian,"Umbehr, Keen A.",5,000020
HODGEMAN,Marena Township,Governor,,Republican,"Brownback, Sam",173,000020
HODGEMAN,North Center,Governor,,Democratic,"Davis, Paul",74,000030
HODGEMAN,North Center,Governor,,Libertarian,"Umbehr, Keen A.",7,000030
HODGEMAN,North Center,Governor,,Republican,"Brownback, Sam",149,000030
HODGEMAN,North Hallet,Governor,,Democratic,"Davis, Paul",1,000040
HODGEMAN,North Hallet,Governor,,Libertarian,"Umbehr, Keen A.",0,000040
HODGEMAN,North Hallet,Governor,,Republican,"Brownback, Sam",3,000040
HODGEMAN,North Roscoe,Governor,,Democratic,"Davis, Paul",0,000050
HODGEMAN,North Roscoe,Governor,,Libertarian,"Umbehr, Keen A.",0,000050
HODGEMAN,North Roscoe,Governor,,Republican,"Brownback, Sam",22,000050
HODGEMAN,Sawlog Township,Governor,,Democratic,"Davis, Paul",8,000060
HODGEMAN,Sawlog Township,Governor,,Libertarian,"Umbehr, Keen A.",2,000060
HODGEMAN,Sawlog Township,Governor,,Republican,"Brownback, Sam",33,000060
HODGEMAN,South Center,Governor,,Democratic,"Davis, Paul",51,000070
HODGEMAN,South Center,Governor,,Libertarian,"Umbehr, Keen A.",7,000070
HODGEMAN,South Center,Governor,,Republican,"Brownback, Sam",134,000070
HODGEMAN,South Hallet,Governor,,Democratic,"Davis, Paul",2,000080
HODGEMAN,South Hallet,Governor,,Libertarian,"Umbehr, Keen A.",1,000080
HODGEMAN,South Hallet,Governor,,Republican,"Brownback, Sam",13,000080
HODGEMAN,South Roscoe,Governor,,Democratic,"Davis, Paul",5,000090
HODGEMAN,South Roscoe,Governor,,Libertarian,"Umbehr, Keen A.",0,000090
HODGEMAN,South Roscoe,Governor,,Republican,"Brownback, Sam",23,000090
HODGEMAN,Sterling Township,Governor,,Democratic,"Davis, Paul",14,000100
HODGEMAN,Sterling Township,Governor,,Libertarian,"Umbehr, Keen A.",0,000100
HODGEMAN,Sterling Township,Governor,,Republican,"Brownback, Sam",43,000100
HODGEMAN,Valley Township,Governor,,Democratic,"Davis, Paul",4,000110
HODGEMAN,Valley Township,Governor,,Libertarian,"Umbehr, Keen A.",0,000110
HODGEMAN,Valley Township,Governor,,Republican,"Brownback, Sam",16,000110
HODGEMAN,Benton Township,State House,117,Republican,"Ewy, John L.",26,000010
HODGEMAN,Marena Township,State House,117,Republican,"Ewy, John L.",197,000020
HODGEMAN,North Center,State House,117,Republican,"Ewy, John L.",203,000030
HODGEMAN,North Hallet,State House,117,Republican,"Ewy, John L.",4,000040
HODGEMAN,North Roscoe,State House,117,Republican,"Ewy, John L.",23,000050
HODGEMAN,Sawlog Township,State House,117,Republican,"Ewy, John L.",40,000060
HODGEMAN,South Center,State House,117,Republican,"Ewy, John L.",181,000070
HODGEMAN,South Hallet,State House,117,Republican,"Ewy, John L.",16,000080
HODGEMAN,South Roscoe,State House,117,Republican,"Ewy, John L.",29,000090
HODGEMAN,Sterling Township,State House,117,Republican,"Ewy, John L.",52,000100
HODGEMAN,Valley Township,State House,117,Republican,"Ewy, John L.",19,000110
HODGEMAN,Benton Township,U.S. House,1,Democratic,"Sherow, James E.",2,000010
HODGEMAN,Benton Township,U.S. House,1,Republican,"Huelskamp, Tim",27,000010
HODGEMAN,Marena Township,U.S. House,1,Democratic,"Sherow, James E.",33,000020
HODGEMAN,Marena Township,U.S. House,1,Republican,"Huelskamp, Tim",174,000020
HODGEMAN,North Center,U.S. House,1,Democratic,"Sherow, James E.",50,000030
HODGEMAN,North Center,U.S. House,1,Republican,"Huelskamp, Tim",173,000030
HODGEMAN,North Hallet,U.S. House,1,Democratic,"Sherow, James E.",2,000040
HODGEMAN,North Hallet,U.S. House,1,Republican,"Huelskamp, Tim",2,000040
HODGEMAN,North Roscoe,U.S. House,1,Democratic,"Sherow, James E.",0,000050
HODGEMAN,North Roscoe,U.S. House,1,Republican,"Huelskamp, Tim",23,000050
HODGEMAN,Sawlog Township,U.S. House,1,Democratic,"Sherow, James E.",6,000060
HODGEMAN,Sawlog Township,U.S. House,1,Republican,"Huelskamp, Tim",32,000060
HODGEMAN,South Center,U.S. House,1,Democratic,"Sherow, James E.",48,000070
HODGEMAN,South Center,U.S. House,1,Republican,"Huelskamp, Tim",142,000070
HODGEMAN,South Hallet,U.S. House,1,Democratic,"Sherow, James E.",3,000080
HODGEMAN,South Hallet,U.S. House,1,Republican,"Huelskamp, Tim",13,000080
HODGEMAN,South Roscoe,U.S. House,1,Democratic,"Sherow, James E.",3,000090
HODGEMAN,South Roscoe,U.S. House,1,Republican,"Huelskamp, Tim",25,000090
HODGEMAN,Sterling Township,U.S. House,1,Democratic,"Sherow, James E.",12,000100
HODGEMAN,Sterling Township,U.S. House,1,Republican,"Huelskamp, Tim",44,000100
HODGEMAN,Valley Township,U.S. House,1,Democratic,"Sherow, James E.",4,000110
HODGEMAN,Valley Township,U.S. House,1,Republican,"Huelskamp, Tim",16,000110
HODGEMAN,Benton Township,Attorney General,,Democratic,"Kotich, A.J.",2,000010
HODGEMAN,Benton Township,Attorney General,,Republican,"Schmidt, Derek",26,000010
HODGEMAN,Marena Township,Attorney General,,Democratic,"Kotich, A.J.",22,000020
HODGEMAN,Marena Township,Attorney General,,Republican,"Schmidt, Derek",186,000020
HODGEMAN,North Center,Attorney General,,Democratic,"Kotich, A.J.",34,000030
HODGEMAN,North Center,Attorney General,,Republican,"Schmidt, Derek",188,000030
HODGEMAN,North Hallet,Attorney General,,Democratic,"Kotich, A.J.",0,000040
HODGEMAN,North Hallet,Attorney General,,Republican,"Schmidt, Derek",4,000040
HODGEMAN,North Roscoe,Attorney General,,Democratic,"Kotich, A.J.",0,000050
HODGEMAN,North Roscoe,Attorney General,,Republican,"Schmidt, Derek",21,000050
HODGEMAN,Sawlog Township,Attorney General,,Democratic,"Kotich, A.J.",5,000060
HODGEMAN,Sawlog Township,Attorney General,,Republican,"Schmidt, Derek",36,000060
HODGEMAN,South Center,Attorney General,,Democratic,"Kotich, A.J.",19,000070
HODGEMAN,South Center,Attorney General,,Republican,"Schmidt, Derek",161,000070
HODGEMAN,South Hallet,Attorney General,,Democratic,"Kotich, A.J.",0,000080
HODGEMAN,South Hallet,Attorney General,,Republican,"Schmidt, Derek",15,000080
HODGEMAN,South Roscoe,Attorney General,,Democratic,"Kotich, A.J.",4,000090
HODGEMAN,South Roscoe,Attorney General,,Republican,"Schmidt, Derek",25,000090
HODGEMAN,Sterling Township,Attorney General,,Democratic,"Kotich, A.J.",5,000100
HODGEMAN,Sterling Township,Attorney General,,Republican,"Schmidt, Derek",50,000100
HODGEMAN,Valley Township,Attorney General,,Democratic,"Kotich, A.J.",2,000110
HODGEMAN,Valley Township,Attorney General,,Republican,"Schmidt, Derek",19,000110
HODGEMAN,Benton Township,Commissioner of Insurance,,Democratic,"Anderson, Dennis",2,000010
HODGEMAN,Benton Township,Commissioner of Insurance,,Republican,"Selzer, Ken",23,000010
HODGEMAN,Marena Township,Commissioner of Insurance,,Democratic,"Anderson, Dennis",31,000020
HODGEMAN,Marena Township,Commissioner of Insurance,,Republican,"Selzer, Ken",175,000020
HODGEMAN,North Center,Commissioner of Insurance,,Democratic,"Anderson, Dennis",53,000030
HODGEMAN,North Center,Commissioner of Insurance,,Republican,"Selzer, Ken",162,000030
HODGEMAN,North Hallet,Commissioner of Insurance,,Democratic,"Anderson, Dennis",0,000040
HODGEMAN,North Hallet,Commissioner of Insurance,,Republican,"Selzer, Ken",4,000040
HODGEMAN,North Roscoe,Commissioner of Insurance,,Democratic,"Anderson, Dennis",2,000050
HODGEMAN,North Roscoe,Commissioner of Insurance,,Republican,"Selzer, Ken",18,000050
HODGEMAN,Sawlog Township,Commissioner of Insurance,,Democratic,"Anderson, Dennis",6,000060
HODGEMAN,Sawlog Township,Commissioner of Insurance,,Republican,"Selzer, Ken",33,000060
HODGEMAN,South Center,Commissioner of Insurance,,Democratic,"Anderson, Dennis",42,000070
HODGEMAN,South Center,Commissioner of Insurance,,Republican,"Selzer, Ken",138,000070
HODGEMAN,South Hallet,Commissioner of Insurance,,Democratic,"Anderson, Dennis",2,000080
HODGEMAN,South Hallet,Commissioner of Insurance,,Republican,"Selzer, Ken",13,000080
HODGEMAN,South Roscoe,Commissioner of Insurance,,Democratic,"Anderson, Dennis",6,000090
HODGEMAN,South Roscoe,Commissioner of Insurance,,Republican,"Selzer, Ken",23,000090
HODGEMAN,Sterling Township,Commissioner of Insurance,,Democratic,"Anderson, Dennis",14,000100
HODGEMAN,Sterling Township,Commissioner of Insurance,,Republican,"Selzer, Ken",41,000100
HODGEMAN,Valley Township,Commissioner of Insurance,,Democratic,"Anderson, Dennis",4,000110
HODGEMAN,Valley Township,Commissioner of Insurance,,Republican,"Selzer, Ken",17,000110
HODGEMAN,Benton Township,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",2,000010
HODGEMAN,Benton Township,Secretary of State,,Republican,"Kobach, Kris",26,000010
HODGEMAN,Marena Township,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",58,000020
HODGEMAN,Marena Township,Secretary of State,,Republican,"Kobach, Kris",179,000020
HODGEMAN,North Center,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",53,000030
HODGEMAN,North Center,Secretary of State,,Republican,"Kobach, Kris",172,000030
HODGEMAN,North Hallet,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",0,000040
HODGEMAN,North Hallet,Secretary of State,,Republican,"Kobach, Kris",4,000040
HODGEMAN,North Roscoe,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",0,000050
HODGEMAN,North Roscoe,Secretary of State,,Republican,"Kobach, Kris",23,000050
HODGEMAN,Sawlog Township,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",8,000060
HODGEMAN,Sawlog Township,Secretary of State,,Republican,"Kobach, Kris",34,000060
HODGEMAN,South Center,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",40,000070
HODGEMAN,South Center,Secretary of State,,Republican,"Kobach, Kris",144,000070
HODGEMAN,South Hallet,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",1,000080
HODGEMAN,South Hallet,Secretary of State,,Republican,"Kobach, Kris",14,000080
HODGEMAN,South Roscoe,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",6,000090
HODGEMAN,South Roscoe,Secretary of State,,Republican,"Kobach, Kris",23,000090
HODGEMAN,Sterling Township,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",9,000100
HODGEMAN,Sterling Township,Secretary of State,,Republican,"Kobach, Kris",47,000100
HODGEMAN,Valley Township,Secretary of State,,Democratic,"Schodorf, Jean Kurtis",3,000110
HODGEMAN,Valley Township,Secretary of State,,Republican,"Kobach, Kris",18,000110
HODGEMAN,Benton Township,State Treasurer,,Democratic,"Alldritt, Carmen",2,000010
HODGEMAN,Benton Township,State Treasurer,,Republican,"Estes, Ron",26,000010
HODGEMAN,Marena Township,State Treasurer,,Democratic,"Alldritt, Carmen",16,000020
HODGEMAN,Marena Township,State Treasurer,,Republican,"Estes, Ron",193,000020
HODGEMAN,North Center,State Treasurer,,Democratic,"Alldritt, Carmen",31,000030
HODGEMAN,North Center,State Treasurer,,Republican,"Estes, Ron",188,000030
HODGEMAN,North Hallet,State Treasurer,,Democratic,"Alldritt, Carmen",0,000040
HODGEMAN,North Hallet,State Treasurer,,Republican,"Estes, Ron",4,000040
HODGEMAN,North Roscoe,State Treasurer,,Democratic,"Alldritt, Carmen",0,000050
HODGEMAN,North Roscoe,State Treasurer,,Republican,"Estes, Ron",21,000050
HODGEMAN,Sawlog Township,State Treasurer,,Democratic,"Alldritt, Carmen",5,000060
HODGEMAN,Sawlog Township,State Treasurer,,Republican,"Estes, Ron",36,000060
HODGEMAN,South Center,State Treasurer,,Democratic,"Alldritt, Carmen",27,000070
HODGEMAN,South Center,State Treasurer,,Republican,"Estes, Ron",157,000070
HODGEMAN,South Hallet,State Treasurer,,Democratic,"Alldritt, Carmen",0,000080
HODGEMAN,South Hallet,State Treasurer,,Republican,"Estes, Ron",15,000080
HODGEMAN,South Roscoe,State Treasurer,,Democratic,"Alldritt, Carmen",5,000090
HODGEMAN,South Roscoe,State Treasurer,,Republican,"Estes, Ron",25,000090
HODGEMAN,Sterling Township,State Treasurer,,Democratic,"Alldritt, Carmen",10,000100
HODGEMAN,Sterling Township,State Treasurer,,Republican,"Estes, Ron",50,000100
HODGEMAN,Valley Township,State Treasurer,,Democratic,"Alldritt, Carmen",4,000110
HODGEMAN,Valley Township,State Treasurer,,Republican,"Estes, Ron",19,000110
HODGEMAN,Benton Township,U.S. Senate,,independent,"Orman, Greg",2,000010
HODGEMAN,Benton Township,U.S. Senate,,Libertarian,"Batson, Randall",0,000010
HODGEMAN,Benton Township,U.S. Senate,,Republican,"Roberts, Pat",27,000010
HODGEMAN,Marena Township,U.S. Senate,,independent,"Orman, Greg",31,000020
HODGEMAN,Marena Township,U.S. Senate,,Libertarian,"Batson, Randall",6,000020
HODGEMAN,Marena Township,U.S. Senate,,Republican,"Roberts, Pat",101,000020
HODGEMAN,North Center,U.S. Senate,,independent,"Orman, Greg",62,000030
HODGEMAN,North Center,U.S. Senate,,Libertarian,"Batson, Randall",7,000030
HODGEMAN,North Center,U.S. Senate,,Republican,"Roberts, Pat",156,000030
HODGEMAN,North Hallet,U.S. Senate,,independent,"Orman, Greg",1,000040
HODGEMAN,North Hallet,U.S. Senate,,Libertarian,"Batson, Randall",0,000040
HODGEMAN,North Hallet,U.S. Senate,,Republican,"Roberts, Pat",3,000040
HODGEMAN,North Roscoe,U.S. Senate,,independent,"Orman, Greg",0,000050
HODGEMAN,North Roscoe,U.S. Senate,,Libertarian,"Batson, Randall",0,000050
HODGEMAN,North Roscoe,U.S. Senate,,Republican,"Roberts, Pat",24,000050
HODGEMAN,Sawlog Township,U.S. Senate,,independent,"Orman, Greg",7,000060
HODGEMAN,Sawlog Township,U.S. Senate,,Libertarian,"Batson, Randall",1,000060
HODGEMAN,Sawlog Township,U.S. Senate,,Republican,"Roberts, Pat",31,000060
HODGEMAN,South Center,U.S. Senate,,independent,"Orman, Greg",48,000070
HODGEMAN,South Center,U.S. Senate,,Libertarian,"Batson, Randall",6,000070
HODGEMAN,South Center,U.S. Senate,,Republican,"Roberts, Pat",136,000070
HODGEMAN,South Hallet,U.S. Senate,,independent,"Orman, Greg",1,000080
HODGEMAN,South Hallet,U.S. Senate,,Libertarian,"Batson, Randall",0,000080
HODGEMAN,South Hallet,U.S. Senate,,Republican,"Roberts, Pat",15,000080
HODGEMAN,South Roscoe,U.S. Senate,,independent,"Orman, Greg",3,000090
HODGEMAN,South Roscoe,U.S. Senate,,Libertarian,"Batson, Randall",0,000090
HODGEMAN,South Roscoe,U.S. Senate,,Republican,"Roberts, Pat",25,000090
HODGEMAN,Sterling Township,U.S. Senate,,independent,"Orman, Greg",10,000100
HODGEMAN,Sterling Township,U.S. Senate,,Libertarian,"Batson, Randall",0,000100
HODGEMAN,Sterling Township,U.S. Senate,,Republican,"Roberts, Pat",46,000100
HODGEMAN,Valley Township,U.S. Senate,,independent,"Orman, Greg",4,000110
HODGEMAN,Valley Township,U.S. Senate,,Libertarian,"Batson, Randall",0,000110
HODGEMAN,Valley Township,U.S. Senate,,Republican,"Roberts, Pat",17,000110
