county,precinct,office,district,party,candidate,Total
Grant,Ward 1,Attorney,,,A.J. Kotich [D],34
Grant,Ward 2,Attorney,,,A.J. Kotich [D],77
Grant,Ward 3,Attorney,,,A.J. Kotich [D],79
Grant,Prec 4,Attorney,,,A.J. Kotich [D],37
Grant,Ward 1,Attorney,,,Derek Schmidt [R],148
Grant,Ward 2,Attorney,,,Derek Schmidt [R],347
Grant,Ward 3,Attorney,,,Derek Schmidt [R],322
Grant,Prec 4,Attorney,,,Derek Schmidt [R],269
Grant,Ward 1,Congress 1,1,,James E. Sherow [D],42
Grant,Ward 2,Congress 1,1,,James E. Sherow [D],88
Grant,Ward 3,Congress 1,1,,James E. Sherow [D],91
Grant,Prec 4,Congress 1,1,,James E. Sherow [D],45
Grant,Ward 1,Congress 1,1,,Tim Huelskamp [R],140
Grant,Ward 2,Congress 1,1,,Tim Huelskamp [R],338
Grant,Ward 3,Congress 1,1,,Tim Huelskamp [R],312
Grant,Prec 4,Congress 1,1,,Tim Huelskamp [R],262
Grant,Ward 1,Governor,,,Keen Umbehr [L],10
Grant,Ward 2,Governor,,,Keen Umbehr [L],17
Grant,Ward 3,Governor,,,Keen Umbehr [L],40
Grant,Prec 4,Governor,,,Keen Umbehr [L],25
Grant,Ward 1,Governor,,,Paul Davis [D],52
Grant,Ward 2,Governor,,,Paul Davis [D],134
Grant,Ward 3,Governor,,,Paul Davis [D],115
Grant,Prec 4,Governor,,,Paul Davis [D],66
Grant,Ward 1,Governor,,,Sam Brownback [R],125
Grant,Ward 2,Governor,,,Sam Brownback [R],282
Grant,Ward 3,Governor,,,Sam Brownback [R],254
Grant,Prec 4,Governor,,,Sam Brownback [R],217
Grant,Ward 1,Insurance,,,Dennis Anderson [D],40
Grant,Ward 2,Insurance,,,Dennis Anderson [D],81
Grant,Ward 3,Insurance,,,Dennis Anderson [D],87
Grant,Prec 4,Insurance,,,Dennis Anderson [D],42
Grant,Ward 1,Insurance,,,Ken Selzer [R],140
Grant,Ward 2,Insurance,,,Ken Selzer [R],346
Grant,Ward 3,Insurance,,,Ken Selzer [R],307
Grant,Prec 4,Insurance,,,Ken Selzer [R],257
Grant,Ward 1,Secretary,,,Jean Kurtis Schodorf [D],55
Grant,Ward 2,Secretary,,,Jean Kurtis Schodorf [D],86
Grant,Ward 3,Secretary,,,Jean Kurtis Schodorf [D],97
Grant,Prec 4,Secretary,,,Jean Kurtis Schodorf [D],54
Grant,Ward 1,Secretary,,,Kris Kobach [R],128
Grant,Ward 2,Secretary,,,Kris Kobach [R],346
Grant,Ward 3,Secretary,,,Kris Kobach [R],307
Grant,Prec 4,Secretary,,,Kris Kobach [R],254
