county,precinct,office,district,party,candidate,votes,vtd
WILSON,Neodesha Ward 4,State Senate,14,Republican,"Givens, Bruce",260,000170
WILSON,Newark Township,State Senate,14,Democratic,"Pringle, Mark",17,000180
WILSON,Newark Township,State Senate,14,Republican,"Givens, Bruce",82,000180
WILSON,Pleasant Valley Township,State Senate,14,Democratic,"Pringle, Mark",38,000190
WILSON,Pleasant Valley Township,State Senate,14,Republican,"Givens, Bruce",57,000190
WILSON,Prairie Township,State Senate,14,Democratic,"Pringle, Mark",11,000200
WILSON,Prairie Township,State Senate,14,Republican,"Givens, Bruce",48,000200
WILSON,Talleyrand Township,State Senate,14,Democratic,"Pringle, Mark",24,000210
WILSON,Talleyrand Township,State Senate,14,Republican,"Givens, Bruce",55,000210
WILSON,Verdigris Township,State Senate,14,Democratic,"Pringle, Mark",31,000220
WILSON,Verdigris Township,State Senate,14,Republican,"Givens, Bruce",67,000220
WILSON,Webster Township,State Senate,14,Democratic,"Pringle, Mark",7,000230
WILSON,Webster Township,State Senate,14,Republican,"Givens, Bruce",17,000230
WILSON,Neodesha Ward 1 Exclave 2,State Senate,14,Democratic,"Pringle, Mark",0,900010
WILSON,Neodesha Ward 1 Exclave 2,State Senate,14,Republican,"Givens, Bruce",0,900010
WILSON,Neodesha Ward 3 Exclave 1,State Senate,14,Democratic,"Pringle, Mark",0,900020
WILSON,Neodesha Ward 3 Exclave 1,State Senate,14,Republican,"Givens, Bruce",0,900020
WILSON,Neodesha Ward 3 Exclave 2,State Senate,14,Democratic,"Pringle, Mark",0,900030
WILSON,Neodesha Ward 3 Exclave 2,State Senate,14,Republican,"Givens, Bruce",0,900030
WILSON,Neodesha Ward 4 Exclave,State Senate,14,Democratic,"Pringle, Mark",0,900040
WILSON,Neodesha Ward 4 Exclave,State Senate,14,Republican,"Givens, Bruce",0,900040
WILSON,Cedar Township,President,,independent,"Stein, Jill",5,000010
WILSON,Cedar Township,President,,write - in,"Basiago, Andrew D.",0,000010
WILSON,Cedar Township,President,,write - in,"Castle, Darrell L",0,000010
WILSON,Cedar Township,President,,write - in,"De La Fuente, ""Rocky"" Roque",0,000010
WILSON,Cedar Township,President,,write - in,"Giordani, Rocky",0,000010
WILSON,Cedar Township,President,,write - in,"Hedges, James A",0,000010
WILSON,Cedar Township,President,,write - in,"Hoefling, Tom",0,000010
WILSON,Cedar Township,President,,write - in,"Kahn, Lynn",0,000010
WILSON,Cedar Township,President,,write - in,"La Riva, Gloria",0,000010
WILSON,Cedar Township,President,,write - in,"Levinson, Michael S.",0,000010
WILSON,Cedar Township,President,,write - in,"Maturen, Michael A",0,000010
WILSON,Cedar Township,President,,write - in,"McMullin, Evan",3,000010
WILSON,Cedar Township,President,,write - in,"Moorehead, Monica G.",0,000010
WILSON,Cedar Township,President,,write - in,"Perry, Darryl",0,000010
WILSON,Cedar Township,President,,write - in,"Schoenke, Marshall R.",0,000010
WILSON,Cedar Township,President,,write - in,"Schriner, Joe C",0,000010
WILSON,Cedar Township,President,,write - in,"Smith, Mike",0,000010
WILSON,Cedar Township,President,,write - in,"Sood, Ajay",0,000010
WILSON,Cedar Township,President,,write - in,"Sterling, Shawna",0,000010
WILSON,Cedar Township,President,,write - in,"Valdivia, Anthony J",0,000010
WILSON,Cedar Township,President,,write - in,"Vogel-Walcutt, J.J.",0,000010
WILSON,Cedar Township,President,,write - in,"Wysinger, Demetra Jefferson",0,000010
WILSON,Cedar Township,President,,Democratic,"Clinton, Hillary Rodham",19,000010
WILSON,Cedar Township,President,,Libertarian,"Johnson, Gary",7,000010
WILSON,Cedar Township,President,,Republican,"Trump, Donald J.",175,000010
WILSON,Center Township,President,,independent,"Stein, Jill",5,000020
WILSON,Center Township,President,,write - in,"Basiago, Andrew D.",0,000020
WILSON,Center Township,President,,write - in,"Castle, Darrell L",0,000020
WILSON,Center Township,President,,write - in,"De La Fuente, ""Rocky"" Roque",0,000020
WILSON,Center Township,President,,write - in,"Giordani, Rocky",0,000020
WILSON,Center Township,President,,write - in,"Hedges, James A",0,000020
WILSON,Center Township,President,,write - in,"Hoefling, Tom",0,000020
WILSON,Center Township,President,,write - in,"Kahn, Lynn",0,000020
WILSON,Center Township,President,,write - in,"La Riva, Gloria",0,000020
WILSON,Center Township,President,,write - in,"Levinson, Michael S.",0,000020
WILSON,Center Township,President,,write - in,"Maturen, Michael A",0,000020
WILSON,Center Township,President,,write - in,"McMullin, Evan",0,000020
WILSON,Center Township,President,,write - in,"Moorehead, Monica G.",0,000020
WILSON,Center Township,President,,write - in,"Perry, Darryl",0,000020
WILSON,Center Township,President,,write - in,"Schoenke, Marshall R.",0,000020
WILSON,Center Township,President,,write - in,"Schriner, Joe C",0,000020
WILSON,Center Township,President,,write - in,"Smith, Mike",0,000020
WILSON,Center Township,President,,write - in,"Sood, Ajay",0,000020
WILSON,Center Township,President,,write - in,"Sterling, Shawna",0,000020
WILSON,Center Township,President,,write - in,"Valdivia, Anthony J",0,000020
WILSON,Center Township,President,,write - in,"Vogel-Walcutt, J.J.",0,000020
WILSON,Center Township,President,,write - in,"Wysinger, Demetra Jefferson",0,000020
WILSON,Center Township,President,,Democratic,"Clinton, Hillary Rodham",42,000020
WILSON,Center Township,President,,Libertarian,"Johnson, Gary",5,000020
WILSON,Center Township,President,,Republican,"Trump, Donald J.",205,000020
WILSON,Chetopa Township,President,,independent,"Stein, Jill",0,000030
WILSON,Chetopa Township,President,,write - in,"Basiago, Andrew D.",0,000030
WILSON,Chetopa Township,President,,write - in,"Castle, Darrell L",0,000030
WILSON,Chetopa Township,President,,write - in,"De La Fuente, ""Rocky"" Roque",0,000030
WILSON,Chetopa Township,President,,write - in,"Giordani, Rocky",0,000030
WILSON,Chetopa Township,President,,write - in,"Hedges, James A",0,000030
WILSON,Chetopa Township,President,,write - in,"Hoefling, Tom",0,000030
WILSON,Chetopa Township,President,,write - in,"Kahn, Lynn",0,000030
