county,precinct,office,district,party,candidate,votes,
Hamilton,Bear Cr,President,,LBT,Johnson & Weld,1,
Hamilton,Bear Cr,President,,IND,Stein & Baraka,0,
Hamilton,Bear Cr,President,,R,Trump & Pence,16,
Hamilton,Bear Cr,President,,D,Clinton & Kaine,0,
Hamilton,Bear Cr,President,,write-in,McMullin & Johnson,0,
Hamilton,Bear Cr,President,,write-in,Castle & Bradley,0,
Hamilton,Bear Cr,U.S. Senate ,,R,Jerry Moran,12,
Hamilton,Bear Cr,U.S. Senate ,,D,Patrick Wiesner,0,
Hamilton,Bear Cr,U.S. Senate ,,LBT,Robert D. Garrard,2,
Hamilton,Bear Cr,U.S House,1,LBT,Kerry Burt,1,
Hamilton,Bear Cr,U.S House,1,IND,Alan LaPolice,2,
Hamilton,Bear Cr,U.S House,1,R,Roger Marshall,11,
Hamilton,Bear Cr,U.S House,1,write-in,Tim Huelskamp [R],0,
Hamilton,Bear Cr,State Senate,39,D,Zacheriah Worf,0,
Hamilton,Bear Cr,State Senate,39,R,John Doll,15,
Hamilton,Bear Cr,State Senate,39,write-in,Larry Powell,0,
Hamilton,Bear Cr,State House,122,R,Russ Jennings,16,
Hamilton,Coolidge,President,,LBT,Johnson & Weld,3,
Hamilton,Coolidge,President,,IND,Stein & Baraka,0,
Hamilton,Coolidge,President,,R,Trump & Pence,34,
Hamilton,Coolidge,President,,D,Clinton & Kaine,9,
Hamilton,Coolidge,President,,write-in,McMullin & Johnson,0,
Hamilton,Coolidge,President,,write-in,Castle & Bradley,0,
Hamilton,Coolidge,U.S. Senate ,,R,Jerry Moran,35,
Hamilton,Coolidge,U.S. Senate ,,D,Patrick Wiesner,6,
Hamilton,Coolidge,U.S. Senate ,,LBT,Robert D. Garrard,5,
Hamilton,Coolidge,U.S House,1,LBT,Kerry Burt,5,
Hamilton,Coolidge,U.S House,1,IND,Alan LaPolice,4,
Hamilton,Coolidge,U.S House,1,R,Roger Marshall,35,
Hamilton,Coolidge,U.S House,1,write-in,Tim Huelskamp [R],0,
Hamilton,Coolidge,State Senate,39,D,Zacheriah Worf,5,
Hamilton,Coolidge,State Senate,39,R,John Doll,34,
Hamilton,Coolidge,State Senate,39,write-in,Larry Powell,1,
Hamilton,Coolidge,State House,122,R,Russ Jennings,37,
Hamilton,Kendall,President,,LBT,Johnson & Weld,2,
Hamilton,Kendall,President,,IND,Stein & Baraka,2,
Hamilton,Kendall,President,,R,Trump & Pence,31,
Hamilton,Kendall,President,,D,Clinton & Kaine,2,
Hamilton,Kendall,President,,write-in,McMullin & Johnson,0,
Hamilton,Kendall,President,,write-in,Castle & Bradley,0,
Hamilton,Kendall,U.S. Senate ,,R,Jerry Moran,34,
Hamilton,Kendall,U.S. Senate ,,D,Patrick Wiesner,1,
Hamilton,Kendall,U.S. Senate ,,LBT,Robert D. Garrard,2,
Hamilton,Kendall,U.S House,1,LBT,Kerry Burt,1,
Hamilton,Kendall,U.S House,1,IND,Alan LaPolice,6,
Hamilton,Kendall,U.S House,1,R,Roger Marshall,29,
Hamilton,Kendall,U.S House,1,write-in,Tim Huelskamp [R],0,
Hamilton,Kendall,State Senate,39,D,Zacheriah Worf,2,
Hamilton,Kendall,State Senate,39,R,John Doll,33,
Hamilton,Kendall,State Senate,39,write-in,Larry Powell,0,
Hamilton,Kendall,State House,122,R,Russ Jennings,36,
Hamilton,Lamont,President,,LBT,Johnson & Weld,1,
Hamilton,Lamont,President,,IND,Stein & Baraka,0,
Hamilton,Lamont,President,,R,Trump & Pence,37,
Hamilton,Lamont,President,,D,Clinton & Kaine,4,
Hamilton,Lamont,President,,write-in,McMullin & Johnson,0,
Hamilton,Lamont,President,,write-in,Castle & Bradley,0,
Hamilton,Lamont,U.S. Senate ,,R,Jerry Moran,39,
Hamilton,Lamont,U.S. Senate ,,D,Patrick Wiesner,3,
Hamilton,Lamont,U.S. Senate ,,LBT,Robert D. Garrard,3,
Hamilton,Lamont,U.S House,1,LBT,Kerry Burt,1,
Hamilton,Lamont,U.S House,1,IND,Alan LaPolice,2,
Hamilton,Lamont,U.S House,1,R,Roger Marshall,39,
Hamilton,Lamont,U.S House,1,write-in,Tim Huelskamp [R],0,
