county,precinct,office,district,party,candidate,votes,vtd
Ellsworth,Ash Creek Township,State House,108,Democratic,"Menke, Kelley",5,000010
Ellsworth,Ash Creek Township,State House,108,Republican,"Johnson, Steven",30,000010
Ellsworth,Black Wolf Township,State House,108,Democratic,"Menke, Kelley",12,000020
Ellsworth,Black Wolf Township,State House,108,Republican,"Johnson, Steven",41,000020
Ellsworth,Buckeye Township,State House,108,Democratic,"Menke, Kelley",1,000030
Ellsworth,Buckeye Township,State House,108,Republican,"Johnson, Steven",28,000030
Ellsworth,Carneiro Township,State House,108,Democratic,"Menke, Kelley",3,000040
Ellsworth,Carneiro Township,State House,108,Republican,"Johnson, Steven",24,000040
Ellsworth,Clear Creek Township,State House,108,Democratic,"Menke, Kelley",13,000050
Ellsworth,Clear Creek Township,State House,108,Republican,"Johnson, Steven",50,000050
Ellsworth,Columbia Township,State House,108,Democratic,"Menke, Kelley",5,000060
Ellsworth,Columbia Township,State House,108,Republican,"Johnson, Steven",27,000060
Ellsworth,Ellsworth City East Ward 1,State House,108,Democratic,"Menke, Kelley",87,000070
Ellsworth,Ellsworth City East Ward 1,State House,108,Republican,"Johnson, Steven",220,000070
Ellsworth,Ellsworth City East Ward 2,State House,108,Democratic,"Menke, Kelley",96,000080
Ellsworth,Ellsworth City East Ward 2,State House,108,Republican,"Johnson, Steven",218,000080
Ellsworth,Ellsworth City West,State House,108,Democratic,"Menke, Kelley",103,00009A
Ellsworth,Ellsworth City West,State House,108,Republican,"Johnson, Steven",247,00009A
Ellsworth,Canren Township,State House,108,Democratic,"Menke, Kelley",9,00009B
Ellsworth,Canren Township,State House,108,Republican,"Johnson, Steven",21,00009B
Ellsworth,Ellsworth Township,State House,108,Democratic,"Menke, Kelley",21,000100
Ellsworth,Ellsworth Township,State House,108,Republican,"Johnson, Steven",69,000100
Ellsworth,Garfield Township,State House,108,Democratic,"Menke, Kelley",0,000110
Ellsworth,Garfield Township,State House,108,Republican,"Johnson, Steven",29,000110
Ellsworth,Green Garden Township,State House,108,Democratic,"Menke, Kelley",23,000120
Ellsworth,Green Garden Township,State House,108,Republican,"Johnson, Steven",65,000120
Ellsworth,Kanopolis Township,State House,108,Democratic,"Menke, Kelley",88,000130
Ellsworth,Kanopolis Township,State House,108,Republican,"Johnson, Steven",148,000130
Ellsworth,Langley Township,State House,108,Democratic,"Menke, Kelley",11,000140
Ellsworth,Langley Township,State House,108,Republican,"Johnson, Steven",33,000140
Ellsworth,Lincoln Township,State House,108,Democratic,"Menke, Kelley",6,000150
Ellsworth,Lincoln Township,State House,108,Republican,"Johnson, Steven",21,000150
Ellsworth,Mulberry Township,State House,108,Democratic,"Menke, Kelley",1,000160
Ellsworth,Mulberry Township,State House,108,Republican,"Johnson, Steven",17,000160
Ellsworth,Noble Township,State House,108,Democratic,"Menke, Kelley",9,000170
Ellsworth,Noble Township,State House,108,Republican,"Johnson, Steven",32,000170
Ellsworth,Palacky Township,State House,108,Democratic,"Menke, Kelley",8,000180
Ellsworth,Palacky Township,State House,108,Republican,"Johnson, Steven",25,000180
Ellsworth,Sherman Township,State House,108,Democratic,"Menke, Kelley",4,000190
Ellsworth,Sherman Township,State House,108,Republican,"Johnson, Steven",32,000190
Ellsworth,Thomas Township,State House,108,Democratic,"Menke, Kelley",7,000200
Ellsworth,Thomas Township,State House,108,Republican,"Johnson, Steven",28,000200
Ellsworth,Trivoli Township,State House,108,Democratic,"Menke, Kelley",5,000210
Ellsworth,Trivoli Township,State House,108,Republican,"Johnson, Steven",26,000210
Ellsworth,Valley Township,State House,108,Democratic,"Menke, Kelley",75,000220
Ellsworth,Valley Township,State House,108,Republican,"Johnson, Steven",172,000220
Ellsworth,Venango Township,State House,108,Democratic,"Menke, Kelley",21,000230
Ellsworth,Venango Township,State House,108,Republican,"Johnson, Steven",43,000230
Ellsworth,Wilson Township,State House,108,Democratic,"Menke, Kelley",121,000240
Ellsworth,Wilson Township,State House,108,Republican,"Johnson, Steven",251,000240
Ellsworth,Ash Creek Township,State Senate,35,Democratic,"Morris, Levi",8,000010
Ellsworth,Ash Creek Township,State Senate,35,Republican,"Wilborn, Richard",24,000010
Ellsworth,Black Wolf Township,State Senate,35,Democratic,"Morris, Levi",16,000020
Ellsworth,Black Wolf Township,State Senate,35,Republican,"Wilborn, Richard",38,000020
Ellsworth,Buckeye Township,State Senate,35,Democratic,"Morris, Levi",9,000030
Ellsworth,Buckeye Township,State Senate,35,Republican,"Wilborn, Richard",19,000030
Ellsworth,Carneiro Township,State Senate,35,Democratic,"Morris, Levi",5,000040
Ellsworth,Carneiro Township,State Senate,35,Republican,"Wilborn, Richard",22,000040
Ellsworth,Clear Creek Township,State Senate,35,Democratic,"Morris, Levi",18,000050
Ellsworth,Clear Creek Township,State Senate,35,Republican,"Wilborn, Richard",41,000050
Ellsworth,Columbia Township,State Senate,35,Democratic,"Morris, Levi",5,000060
Ellsworth,Columbia Township,State Senate,35,Republican,"Wilborn, Richard",27,000060
Ellsworth,Ellsworth City East Ward 1,State Senate,35,Democratic,"Morris, Levi",120,000070
Ellsworth,Ellsworth City East Ward 1,State Senate,35,Republican,"Wilborn, Richard",182,000070
Ellsworth,Ellsworth City East Ward 2,State Senate,35,Democratic,"Morris, Levi",131,000080
Ellsworth,Ellsworth City East Ward 2,State Senate,35,Republican,"Wilborn, Richard",183,000080
Ellsworth,Ellsworth City West,State Senate,35,Democratic,"Morris, Levi",130,00009A
Ellsworth,Ellsworth City West,State Senate,35,Republican,"Wilborn, Richard",219,00009A
Ellsworth,Canren Township,State Senate,35,Democratic,"Morris, Levi",14,00009B
Ellsworth,Canren Township,State Senate,35,Republican,"Wilborn, Richard",16,00009B
Ellsworth,Ellsworth Township,State Senate,35,Democratic,"Morris, Levi",26,000100
Ellsworth,Ellsworth Township,State Senate,35,Republican,"Wilborn, Richard",61,000100
Ellsworth,Garfield Township,State Senate,35,Democratic,"Morris, Levi",4,000110
Ellsworth,Garfield Township,State Senate,35,Republican,"Wilborn, Richard",25,000110
Ellsworth,Green Garden Township,State Senate,35,Democratic,"Morris, Levi",28,000120
