county,precinct,office,district,party,candidate,regular_votes,provisional,votes
Kiowa,Center I City,U.S. House,4,R,Ron Estes,56,,56
Kiowa,Center I City,U.S. House,4,D,James A Thompson,16,,16
Kiowa,Center I City,U.S. House,4,L,Chris Rockhold,3,,3
Kiowa,Center I City,U.S. House,4,,Dennis McKinney,1,,1
Kiowa,Center I Twp,U.S. House,4,R,Ron Estes,33,,33
Kiowa,Center I Twp,U.S. House,4,D,James A Thompson,5,,5
Kiowa,Center I Twp,U.S. House,4,L,Chris Rockhold,1,,1
Kiowa,Center I Twp,U.S. House,4,,Dennis McKinney,1,,1
Kiowa,Center IA Twp,U.S. House,4,R,Ron Estes,7,,7
Kiowa,Center IA Twp,U.S. House,4,D,James A Thompson,4,,4
Kiowa,Center IA Twp,U.S. House,4,L,Chris Rockhold,0,,0
Kiowa,Center IA Twp,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Center II City,U.S. House,4,R,Ron Estes,20,,20
Kiowa,Center II City,U.S. House,4,D,James A Thompson,10,,10
Kiowa,Center II City,U.S. House,4,L,Chris Rockhold,2,,2
Kiowa,Center II City,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Center IIA City,U.S. House,4,R,Ron Estes,35,1,36
Kiowa,Center IIA City,U.S. House,4,D,James A Thompson,17,,17
Kiowa,Center IIA City,U.S. House,4,L,Chris Rockhold,1,,1
Kiowa,Center IIA City,U.S. House,4,,Dennis McKinney,3,,3
Kiowa,Haviland City,U.S. House,4,R,Ron Estes,99,,99
Kiowa,Haviland City,U.S. House,4,D,James A Thompson,20,2,22
Kiowa,Haviland City,U.S. House,4,L,Chris Rockhold,6,2,8
Kiowa,Haviland City,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Haviland Twp,U.S. House,4,R,Ron Estes,43,,43
Kiowa,Haviland Twp,U.S. House,4,D,James A Thompson,6,,6
Kiowa,Haviland Twp,U.S. House,4,L,Chris Rockhold,1,,1
Kiowa,Haviland Twp,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Haviland A Twp,U.S. House,4,R,Ron Estes,8,,8
Kiowa,Haviland A Twp,U.S. House,4,D,James A Thompson,0,,0
Kiowa,Haviland A Twp,U.S. House,4,L,Chris Rockhold,0,,0
Kiowa,Haviland A Twp,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Belvidere Twp,U.S. House,4,R,Ron Estes,14,,14
Kiowa,Belvidere Twp,U.S. House,4,D,James A Thompson,0,,0
Kiowa,Belvidere Twp,U.S. House,4,L,Chris Rockhold,0,,0
Kiowa,Belvidere Twp,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Mullinville City,U.S. House,4,R,Ron Estes,60,1,61
Kiowa,Mullinville City,U.S. House,4,D,James A Thompson,4,,4
Kiowa,Mullinville City,U.S. House,4,L,Chris Rockhold,2,,2
Kiowa,Mullinville City,U.S. House,4,,Dennis McKinney,,,0
Kiowa,Mullinville Township,U.S. House,4,R,Ron Estes,46,2,48
Kiowa,Mullinville Township,U.S. House,4,D,James A Thompson,8,,8
Kiowa,Mullinville Township,U.S. House,4,L,Chris Rockhold,2,,2
Kiowa,Mullinville Township,U.S. House,4,,Dennis McKinney,,,0
