county,precinct,office,district,party,candidate,election_day,advance,provisional,votes
Comanche,Avilla Township,U.S. House,4,Libertarian,Chris Rockhold,0,0,0,0
Comanche,Coldwater Township,U.S. House,4,Libertarian,Chris Rockhold,2,0,0,2
Comanche,Powell Township,U.S. House,4,Libertarian,Chris Rockhold,2,0,0,2
Comanche,Protection Township H115,U.S. House,4,Libertarian,Chris Rockhold,3,0,0,3
Comanche,Protection Township H116,U.S. House,4,Libertarian,Chris Rockhold,3,0,0,3
Comanche,Avilla Township,U.S. House,4,Democratic,James A. Thompson,3,0,0,3
Comanche,Coldwater Township,U.S. House,4,Democratic,James A. Thompson,52,6,0,58
Comanche,Powell Township,U.S. House,4,Democratic,James A. Thompson,8,0,0,8
Comanche,Protection Township H115,U.S. House,4,Democratic,James A. Thompson,13,3,0,16
Comanche,Protection Township H116,U.S. House,4,Democratic,James A. Thompson,5,0,0,5
Comanche,Avilla Township,U.S. House,4,Republican,Ron Estes,20,3,0,23
Comanche,Coldwater Township,U.S. House,4,Republican,Ron Estes,130,18,1,149
Comanche,Powell Township,U.S. House,4,Republican,Ron Estes,16,0,0,16
Comanche,Protection Township H115,U.S. House,4,Republican,Ron Estes,72,1,0,73
Comanche,Protection Township H116,U.S. House,4,Republican,Ron Estes,22,0,0,22
Comanche,Coldwater Township,U.S. House,4,,Under Votes,0,1,0,1
