county,precinct,office,district,party,candidate,votes,vtd
EDWARDS,Belpre Township,Attorney General,,Democratic,"Swain, Sarah G.",9,000010
EDWARDS,Belpre Township,Attorney General,,Republican,"Schmidt, Derek",54,000010
EDWARDS,Franklin Township,Attorney General,,Democratic,"Swain, Sarah G.",0,000020
EDWARDS,Franklin Township,Attorney General,,Republican,"Schmidt, Derek",33,000020
EDWARDS,Jackson Township,Attorney General,,Democratic,"Swain, Sarah G.",5,000030
EDWARDS,Jackson Township,Attorney General,,Republican,"Schmidt, Derek",25,000030
EDWARDS,Kinsley Township,Attorney General,,Democratic,"Swain, Sarah G.",6,000040
EDWARDS,Kinsley Township,Attorney General,,Republican,"Schmidt, Derek",54,000040
EDWARDS,Kinsley Ward 1,Attorney General,,Democratic,"Swain, Sarah G.",48,000050
EDWARDS,Kinsley Ward 1,Attorney General,,Republican,"Schmidt, Derek",214,000050
EDWARDS,Kinsley Ward 2,Attorney General,,Democratic,"Swain, Sarah G.",70,00006A
EDWARDS,Kinsley Ward 2,Attorney General,,Republican,"Schmidt, Derek",209,00006A
EDWARDS,Kinsley Ward 2 Exclave,Attorney General,,Democratic,"Swain, Sarah G.",0,00006B
EDWARDS,Kinsley Ward 2 Exclave,Attorney General,,Republican,"Schmidt, Derek",0,00006B
EDWARDS,Lincoln Township,Attorney General,,Democratic,"Swain, Sarah G.",7,000070
EDWARDS,Lincoln Township,Attorney General,,Republican,"Schmidt, Derek",50,000070
EDWARDS,Logan Township,Attorney General,,Democratic,"Swain, Sarah G.",3,000080
EDWARDS,Logan Township,Attorney General,,Republican,"Schmidt, Derek",14,000080
EDWARDS,North Brown Township,Attorney General,,Democratic,"Swain, Sarah G.",2,000090
EDWARDS,North Brown Township,Attorney General,,Republican,"Schmidt, Derek",24,000090
EDWARDS,South Brown Township,Attorney General,,Democratic,"Swain, Sarah G.",3,000100
EDWARDS,South Brown Township,Attorney General,,Republican,"Schmidt, Derek",39,000100
EDWARDS,Trenton Township,Attorney General,,Democratic,"Swain, Sarah G.",14,000110
EDWARDS,Trenton Township,Attorney General,,Republican,"Schmidt, Derek",113,000110
EDWARDS,Wayne Township,Attorney General,,Democratic,"Swain, Sarah G.",35,000120
EDWARDS,Wayne Township,Attorney General,,Republican,"Schmidt, Derek",111,000120
EDWARDS,Belpre Township,Governor,,independent,"Kloos, Rick",0,000010
EDWARDS,Belpre Township,Governor,,independent,"Orman, Greg",8,000010
EDWARDS,Belpre Township,Governor,,Democratic,"Kelly, Laura",12,000010
