county,precinct,office,district,party,candidate,votes,vtd
Thomas,Barrett Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",41,000010
Thomas,Barrett Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",12,000010
Thomas,Barrett Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",40,000010
Thomas,Barrett Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",12,000010
Thomas,Barrett Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",28,000010
Thomas,Barrett Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",24,000010
Thomas,Barrett Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",28,000010
Thomas,Barrett Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",24,000010
Thomas,Barrett Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",39,000010
Thomas,Barrett Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",12,000010
Thomas,Colby Ward 1,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",354,000020
Thomas,Colby Ward 1,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",97,000020
Thomas,Colby Ward 1,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",364,000020
Thomas,Colby Ward 1,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",82,000020
Thomas,Colby Ward 1,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",310,000020
Thomas,Colby Ward 1,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",138,000020
Thomas,Colby Ward 1,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",298,000020
Thomas,Colby Ward 1,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",148,000020
Thomas,Colby Ward 1,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",355,000020
Thomas,Colby Ward 1,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",99,000020
Thomas,Colby Ward 2,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",363,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",108,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",375,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",94,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",329,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",141,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",320,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",149,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",377,00003A
Thomas,Colby Ward 2,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",91,00003A
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",0,00003B
Thomas,Colby Ward 2 Exclave,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",0,00003B
Thomas,Colby Ward 3,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",546,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",123,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",546,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",118,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",465,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",190,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",466,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",190,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",547,00004A
Thomas,Colby Ward 3,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",113,00004A
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",0,00004B
Thomas,Colby Ward 3 Exclave,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",0,00004B
Thomas,Colby Ward 4,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",497,000050
Thomas,Colby Ward 4,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",89,000050
Thomas,Colby Ward 4,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",489,000050
