county,precinct,office,district,party,candidate,votes,vtd
Allen,Carlyle Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",114,000010
Allen,Carlyle Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",45,000010
Allen,Carlyle Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",111,000010
Allen,Carlyle Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",44,000010
Allen,Carlyle Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",101,000010
Allen,Carlyle Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",53,000010
Allen,Carlyle Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",102,000010
Allen,Carlyle Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",54,000010
Allen,Carlyle Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",110,000010
Allen,Carlyle Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",44,000010
Allen,Cottage Grove Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",70,000020
Allen,Cottage Grove Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",35,000020
Allen,Cottage Grove Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",70,000020
Allen,Cottage Grove Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",36,000020
Allen,Cottage Grove Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",54,000020
Allen,Cottage Grove Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",48,000020
Allen,Cottage Grove Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",57,000020
Allen,Cottage Grove Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",48,000020
Allen,Cottage Grove Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",76,000020
Allen,Cottage Grove Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",32,000020
Allen,Deer Creek Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",46,000030
Allen,Deer Creek Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",20,000030
Allen,Deer Creek Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",45,000030
Allen,Deer Creek Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",21,000030
Allen,Deer Creek Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",44,000030
Allen,Deer Creek Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",21,000030
Allen,Deer Creek Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",45,000030
Allen,Deer Creek Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",20,000030
Allen,Deer Creek Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""YES""",45,000030
Allen,Deer Creek Township,Court of Appeals Judge,14,,"Gardner, Kathryn - ""NO""",19,000030
Allen,East Elm,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",196,000040
Allen,East Elm,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",74,000040
Allen,East Elm,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",200,000040
Allen,East Elm,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",70,000040
Allen,East Elm,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",181,000040
