county,precinct,office,district,party,candidate,votes,vtd
Doniphan,Bendena Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",104,000010
Doniphan,Bendena Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",33,000010
Doniphan,Bendena Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",108,000010
Doniphan,Bendena Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",29,000010
Doniphan,Bendena Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",87,000010
Doniphan,Bendena Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",48,000010
Doniphan,Bendena Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",85,000010
Doniphan,Bendena Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",51,000010
Doniphan,Bendena Township,Court of Appeals Judge,4,,"Gardner, Kathryn - ""YES""",107,000010
Doniphan,Bendena Township,Court of Appeals Judge,4,,"Gardner, Kathryn - ""NO""",31,000010
Doniphan,Blair Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",70,000020
Doniphan,Blair Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",20,000020
Doniphan,Blair Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",71,000020
Doniphan,Blair Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",17,000020
Doniphan,Blair Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",63,000020
Doniphan,Blair Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",25,000020
Doniphan,Blair Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",64,000020
Doniphan,Blair Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""NO""",25,000020
Doniphan,Blair Township,Court of Appeals Judge,4,,"Gardner, Kathryn - ""YES""",74,000020
Doniphan,Blair Township,Court of Appeals Judge,4,,"Gardner, Kathryn - ""NO""",15,000020
Doniphan,Burr Oak Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""YES""",49,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,4,,"Warner, Sarah E. - ""NO""",24,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,6,,"Bruns, David E. - ""YES""",51,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,6,,"Bruns, David E. - ""NO""",19,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""YES""",41,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,8,,"Atcheson, G. Gordon - ""NO""",30,000030
Doniphan,Burr Oak Township,Court of Appeals Judge,9,,"Arnold-Burger, Karen M. - ""YES""",41,000030
