county,precinct,office,district,party,candidate,votes,vtd
Thomas,Barrett Township,State House,120,Democratic,"Peterson, Bonita L.",9,000010
Thomas,Barrett Township,State House,120,Republican,"Smith, Adam",45,000010
Thomas,Colby Ward 1,State House,120,Democratic,"Peterson, Bonita L.",84,000020
Thomas,Colby Ward 1,State House,120,Republican,"Smith, Adam",382,000020
Thomas,Colby Ward 2,State House,120,Democratic,"Peterson, Bonita L.",79,00003A
Thomas,Colby Ward 2,State House,120,Republican,"Smith, Adam",399,00003A
Thomas,Colby Ward 2 Exclave,State House,120,Democratic,"Peterson, Bonita L.",0,00003B
Thomas,Colby Ward 2 Exclave,State House,120,Republican,"Smith, Adam",0,00003B
Thomas,Colby Ward 3,State House,120,Democratic,"Peterson, Bonita L.",107,00004A
Thomas,Colby Ward 3,State House,120,Republican,"Smith, Adam",590,00004A
Thomas,Colby Ward 3 Exclave,State House,120,Democratic,"Peterson, Bonita L.",0,00004B
Thomas,Colby Ward 3 Exclave,State House,120,Republican,"Smith, Adam",0,00004B
Thomas,Colby Ward 4,State House,120,Democratic,"Peterson, Bonita L.",101,000050
Thomas,Colby Ward 4,State House,120,Republican,"Smith, Adam",498,000050
Thomas,East Hale Township,State House,120,Democratic,"Peterson, Bonita L.",5,000060
Thomas,East Hale Township,State House,120,Republican,"Smith, Adam",55,000060
Thomas,East Morgan Township,State House,120,Democratic,"Peterson, Bonita L.",17,00007A
Thomas,East Morgan Township,State House,120,Republican,"Smith, Adam",123,00007A
Thomas,East Morgan Township Enclave Voting District,State House,120,Democratic,"Peterson, Bonita L.",0,00007B
Thomas,East Morgan Township Enclave Voting District,State House,120,Republican,"Smith, Adam",0,00007B
Thomas,Kingery Township,State House,118,Republican,"Hineman, Don",46,000080
Thomas,Lacey Township,State House,118,Republican,"Hineman, Don",55,000090
Thomas,Menlo Township,State House,118,Republican,"Hineman, Don",34,000100
Thomas,North Randall Township,State House,118,Republican,"Hineman, Don",41,000110
Thomas,Rovohl Township,State House,120,Democratic,"Peterson, Bonita L.",10,000120
Thomas,Rovohl Township,State House,120,Republican,"Smith, Adam",74,000120
Thomas,Smith Township,State House,118,Republican,"Hineman, Don",79,000130
